sensor_id,seq,t_us,wall_s,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z,gx_est,gy_est,gz_est,g_norm_est
1,109974,1100192836,0.3712132,1811,0,0,1628,142,142,-0.00276381909547733,0,0,0.00276381909547733
2,100588,1006285731,0.3771502,2013,1872,2251,1730,1621,1917,-7.0175438596228e-05,-0.000157894736842081,-0.00875438596491222,0.00875609096359538
1,109975,1100202835,0.3843895,1813,0,0,1628,142,142,-0.00276381909547733,0,0,0.00276381909547733
2,100589,1006295732,0.3873443,2008,1874,2252,1733,1621,1923,0.00992982456140377,-0.000157894736842081,0.0112456140350878,0.0150030057519933
1,109976,1100212835,0.3892061,1808,0,0,1630,142,142,0.00390284757118934,0,0,0.00390284757118934
2,100590,1006305730,0.3900218,2010,1872,2247,1734,1622,1919,0.0132631578947371,0.00317543859649125,-0.00208771929824555,0.0137968597691315
1,109977,1100222835,0.3907886,1815,0,0,1630,142,142,0.00390284757118934,0,0,0.00390284757118934
2,100591,1006315731,0.3915776,2010,1873,2246,1728,1621,1920,-0.00673684210526289,-0.000157894736842081,0.00124561403508778,0.0068528480665759
1,109978,1100232835,0.3923306,1808,0,0,1628,142,142,-0.00276381909547733,0,0,0.00276381909547733
2,100592,1006325731,0.3931071,2012,1872,2253,1731,1621,1921,0.00326315789473711,-0.000157894736842081,0.00457894736842112,0.00562493459488003
1,109979,1100242835,0.3938654,1811,0,0,1631,142,142,0.00723618090452267,0,0,0.00723618090452267
2,100593,1006335731,0.3946357,2011,1872,2252,1730,1621,1922,-7.0175438596228e-05,-0.000157894736842081,0.00791228070175445,0.00791416712253794
1,109980,1100252834,0.3953503,1813,0,0,1627,142,142,-0.00609715242881066,0,0,0.00609715242881066
2,100594,1006345733,0.3959988,2015,1872,2247,1730,1621,1922,-7.0175438596228e-05,-0.000157894736842081,0.00791228070175445,0.00791416712253794
1,109981,1100262835,0.3967619,1808,0,0,1632,142,142,0.010569514237856,0,0,0.010569514237856
2,100595,1006355732,0.39822,2012,1872,2245,1733,1621,1918,0.00992982456140377,-0.000157894736842081,-0.00542105263157888,0.0113143341917467
1,109982,1100272835,0.3995136,1814,0,0,1632,142,142,0.010569514237856,0,0,0.010569514237856
