axis,offset_raw,sens_raw_per_g,offset_mv,sens_mv_per_g
x,1884.36687207251,-398.67427487521,1699.07690258062,-329.277104963646
y,1776.84301121338,-367.287346899363,1610.33374360125,-303.34112227502
z,1838.45838654251,246.539159776458,1660.91239432701,203.269237341056
