window_id,t_start_s,t_end_s,n_samples,rms_x,rms_y,rms_z,std_x,std_y,std_z,ptp_x,ptp_y,ptp_z,norm_rms,norm_mean_abs,jerk_rms,motion_threshold,is_motion
17,3.999237,4.989237,100,4.53053318253829,5.9272760087253,5.90915516656664,4.52249149174758,5.65573812489349,5.76650026034208,33,43,50,9.51716589034006,7.58418795954216,1206.43017484608,10.5746734583437,0
18,4.249237,5.239237,100,5.58018002862541,5.5723683988318,6.50630248090919,5.59410765038003,5.26793233737024,6.31095728223396,45,43,62,10.2235840436343,8.03218741118412,1322.69837121768,10.5746734583437,0
19,4.499236,5.489237,100,5.57462260246179,5.70876328647352,5.33586495230478,5.59422501651065,5.40275836770422,4.94968624656088,49,40,41,9.59884629578473,7.62292192116136,1218.64147341537,10.5746734583437,0
20,4.749237,5.739237,100,5.73658398397425,5.92763543170503,5.66064598027698,5.7392499421954,5.73312191294471,5.30937801908048,49,47,43,10.0044075551939,8.04044674591415,1306.40916319643,10.5746734583437,0
21,4.999237,5.989237,100,6.16282412079575,4.53237620350633,6.31892782439885,6.17453224826371,4.35421541947478,6.06206118895099,49,32,43,9.92228219936997,8.25455314489761,1376.90415919489,10.5746734583437,0
22,5.249237,6.239237,100,4.83898449657783,5.02875066817559,6.13564499249421,4.86275268097851,4.97403358462829,5.90027391933903,33,35,43,9.29248318345081,7.80575615098668,1292.55278396711,10.5746734583437,0
23,5.499237,6.489236,100,4.98180781964438,5.33246848744212,6.6667937926652,4.9910121238284,5.22383813383272,6.45615359110355,35,34,43,9.88431933900116,8.42325329430405,1332.45852822791,10.5746734583437,0
24,5.749237,6.739237,100,5.06804281976417,5.7830850205649,7.42408785069655,5.05815672898236,5.69787307473215,7.15273487287318,37,38,46,10.6886019101146,8.85065429230571,1453.31116066379,10.5746734583437,1
25,5.999237,6.989237,100,4.50611044356474,5.72931555011008,7.11012333612905,4.43825199916373,5.61459137993464,6.73956357427669,37,38,44,10.1825312107208,8.31803070847286,1360.96322616064,10.5746734583437,0
26,6.249237,7.239237,100,5.65429341288009,5.24762001277966,7.97937468862902,5.6156347402011,5.11184008855022,7.52694821922866,45,38,60,11.0986021741027,8.92641283400014,1538.64911947722,10.5746734583437,1
27,6.499237,7.489237,100,5.06093397351627,5.24052364152965,8.27696974921023,5.04343758028813,5.16788841859717,7.99001270526543,36,36,62,11.0265302317213,8.66058577366206,1541.49945596605,10.5746734583437,1
28,6.749237,7.739237,100,4.67436786122621,4.66393294905494,7.4133112609434,4.64392728259827,4.46761636217748,7.16198578636124,35,31,62,9.92769707973481,7.87962858097464,1370.37837497317,10.5746734583437,0
