seq,t_us,time_s,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z,mv_x_centered,mv_y_centered,mv_z_centered,mv_norm,mv_norm_centered
0,340063,0,1934,1719,1488,1745,1558,1328,2.06662217773328,3.18852185518858,-7.21354688021347,2689.97639394847,8.15308882814064
1,349300,0.009237,1953,1717,1445,1740,1550,1335,-2.93337782226672,-4.81147814481142,-0.213546880213471,2685.57721914675,5.63920470068369
2,359300,0.019237,1951,1715,1431,1745,1559,1334,2.06662217773328,4.18852185518858,-1.21354688021347,2693.52222934952,4.82569565838619
3,369300,0.029237,1943,1723,1441,1749,1552,1337,6.06662217773328,-2.81147814481142,1.78645311978653,2693.56158273762,6.92096299334945
4,379300,0.039237,1948,1712,1453,1747,1542,1330,4.06662217773328,-12.8114781448114,-5.21354688021347,2683.03428975479,14.4170891397534
5,389300,0.049237,1947,1718,1447,1743,1560,1337,0.0666221777332794,5.18852185518858,1.78645311978653,2694.29359944309,5.48786044880248
6,399299,0.059236,1954,1717,1450,1758,1553,1335,15.0666221777333,-1.81147814481142,-0.213546880213471,2698.99944423855,15.1766320106189
7,409300,0.069237,1952,1718,1453,1745,1553,1337,2.06662217773328,-1.81147814481142,1.78645311978653,2691.54286609001,3.27777287862101
8,419300,0.079237,1950,1726,1449,1744,1556,1332,1.06662217773328,1.18852185518858,-3.21354688021347,2690.14795132164,3.58847469290549
9,429300,0.089237,1953,1721,1429,1742,1549,1334,-0.933377822266721,-5.81147814481142,-1.21354688021347,2685.79988085486,6.0097561029709
10,439300,0.099237,1955,1725,1467,1744,1561,1338,1.06662217773328,6.18852185518858,2.78645311978653,2696.01576404887,6.8702115404802
11,449300,0.109237,1954,1724,1446,1745,1551,1330,2.06662217773328,-3.81147814481142,-5.21354688021347,2686.91756479428,6.78080850238803
12,459300,0.119237,1951,1719,1452,1750,1558,1335,7.06662217773328,3.18852185518858,-0.213546880213471,2696.68110832557,7.75560590114634
13,469300,0.129237,1955,1718,1451,1743,1557,1332,0.0666221777332794,2.18852185518858,-3.21354688021347,2690.07843751813,3.88856657092736
14,479300,0.139237,1965,1718,1449,1739,1555,1325,-3.93337782226672,0.188521855188583,-10.2135468802135,2682.86619122162,10.9463939933159
15,489300,0.149237,1954,1719,1445,1745,1553,1332,2.06662217773328,-1.81147814481142,-3.21354688021347,2689.06266196978,4.22838785424873
16,499300,0.159237,1949,1721,1453,1747,1557,1332,4.06662217773328,2.18852185518858,-3.21354688021347,2692.67190723267,5.62618231115914
17,509300,0.169237,1953,1715,1427,1744,1565,1336,1.06662217773328,10.1885218551886,0.786453119786529,2697.34258113425,10.2743451846485
18,519300,0.179237,1956,1721,1477,1741,1558,1337,-1.93337782226672,3.18852185518858,1.78645311978653,2691.84212018461,4.13473532089335
19,529300,0.189237,1955,1717,1452,1745,1556,1337,2.06662217773328,1.18852185518858,1.78645311978653,2693.27495811326,2.97908143140717
20,539300,0.199237,1951,1726,1453,1744,1550,1328,1.06662217773328,-4.81147814481142,-7.21354688021347,2684.70110068141,8.736318641228
21,549300,0.209237,1952,1726,1449,1745,1546,1333,2.06662217773328,-8.81147814481142,-2.21354688021347,2685.52229556934,9.31734211633828
22,559300,0.219237,1951,1723,1446,1745,1534,1332,2.06662217773328,-20.8114781448114,-3.21354688021347,2678.13461200142,21.159287165422
23,569300,0.229237,1951,1720,1447,1753,1561,1334,10.0666221777333,6.18852185518858,-1.21354688021347,2699.86777454008,11.8788627760343
24,579300,0.239237,1950,1721,1455,1742,1558,1329,-0.933377822266721,3.18852185518858,-6.21354688021347,2688.52543227696,7.04599394072441
25,589300,0.249237,1956,1742,1447,1744,1548,1337,1.06662217773328,-6.81147814481142,1.78645311978653,2688.01209074662,7.12217186934373
26,599300,0.259237,1950,1719,1455,1743,1554,1337,0.0666221777332794,-0.811478144811417,1.78645311978653,2690.82403735361,1.963249867762
27,609300,0.269237,1949,1723,1458,1746,1547,1337,3.06662217773328,-7.81147814481142,1.78645311978653,2688.73464663213,8.57990542704446
28,619300,0.279237,1958,1712,1459,1754,1556,1337,11.0666221777333,1.18852185518858,1.78645311978653,2699.11485491077,11.2727159715019
29,629300,0.289237,1950,1714,1490,1741,1552,1329,-1.93337782226672,-2.81147814481142,-6.21354688021347,2684.40421695392,7.08876039903985
30,639300,0.299237,1957,1717,1449,1748,1562,1334,5.06662217773328,7.18852185518858,-1.21354688021347,2697.20299569758,8.87796163457009
31,649300,0.309237,1955,1728,1447,1748,1553,1331,5.06662217773328,-1.81147814481142,-4.21354688021347,2690.51556397654,6.834185443254
32,659300,0.319237,1954,1723,1446,1744,1558,1328,1.06662217773328,3.18852185518858,-7.21354688021347,2689.32779705264,7.95861879248436
33,669300,0.329237,1951,1719,1456,1750,1553,1329,7.06662217773328,-1.81147814481142,-6.21354688021347,2690.82701041892,9.58262839228214
34,679300,0.339237,1954,1698,1451,1742,1550,1332,-0.933377822266721,-4.81147814481142,-3.21354688021347,2685.38414384237,5.86075077515049
35,689300,0.349237,1950,1719,1453,1747,1548,1328,4.06662217773328,-6.81147814481142,-7.21354688021347,2685.49753304672,10.7223555736001
36,699300,0.359237,1951,1716,1450,1741,1558,1337,-1.93337782226672,3.18852185518858,1.78645311978653,2691.84212018461,4.13473532089335
37,709300,0.369237,1954,1721,1455,1740,1553,1333,-2.93337782226672,-1.81147814481142,-2.21354688021347,2686.31680931345,4.09706581692294
38,719300,0.379237,1954,1722,1430,1745,1562,1342,2.06662217773328,7.18852185518858,6.78645311978653,2699.22822302969,10.0995900726259
39,729299,0.389236,1951,1723,1454,1739,1552,1335,-3.93337782226672,-2.81147814481142,-0.213546880213471,2686.08451095642,4.83957360947231
40,739300,0.399237,1956,1725,1454,1746,1548,1346,3.06662217773328,-6.81147814481142,10.7864531197865,2693.79583487687,13.1205174060919
41,749300,0.409237,1947,1717,1453,1744,1555,1334,1.06662217773328,0.188521855188583,-1.21354688021347,2690.56072222873,1.62662822746689
42,759300,0.419237,1955,1727,1451,1745,1548,1336,2.06662217773328,-6.81147814481142,0.786453119786529,2688.16387149296,7.1614014167874
43,769300,0.429237,1953,1727,1458,1742,1550,1322,-0.933377822266721,-4.81147814481142,-13.2135468802135,2680.43802390579,14.0932372878873
