segment_id,t_start_s,t_end_s,duration_s,num_windows
1,5.749237,6.739237,0.99,1
2,6.249237,7.489237,1.24,2
3,37.499237,38.489237,0.990000000000002,1
4,38.249237,39.989237,1.74,4
5,57.499237,58.489237,0.990000000000002,1
6,72.999237,73.989237,0.990000000000009,1
7,76.999237,78.239237,1.24000000000001,2
8,88.499237,89.739237,1.24000000000001,2
