axis,offset_raw,sens_raw_per_g,offset_mv,sens_mv_per_g
x,1884.36687207251,-398.67427487521,1699.07690258062,-329.277104963646
y,1768.88944354264,-359.333779228626,1603.36512137258,-296.372500046343
z,1837.73155201786,245.812325251805,1660.35533000185,202.712173015896
