sensor_id,seq,t_us,wall_s,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z
1,182866,1829075301,6.2112947,1840,1737,1189,1652,1562,1118
2,182804,1828455531,6.2118327,1999,1894,2281,1720,1642,1939
1,182867,1829085300,6.2123721,1843,1738,1195,1653,1570,1122
2,182805,1828465530,6.2129076,2000,1898,2285,1723,1639,1945
2,182806,1828475531,6.2135392,2000,1893,2278,1723,1641,1942
1,182868,1829095301,6.2141167,1840,1733,1198,1649,1565,1119
1,182869,1829105302,6.2146545,1840,1735,1190,1653,1566,1126
2,182807,1828485531,6.2156148,1998,1895,2276,1722,1640,1947
1,182870,1829115301,6.217351,1837,1728,1191,1653,1568,1124
2,182808,1828495530,6.2184563,2000,1900,2282,1723,1641,1949
1,182871,1829125301,6.2193198,1837,1739,1190,1653,1566,1120
2,182809,1828505531,6.22004,2000,1894,2281,1723,1643,1941
1,182872,1829135301,6.2207379,1843,1732,1195,1649,1570,1120
2,182810,1828515530,6.2214449,2000,1899,2282,1723,1643,1945
2,182811,1828525532,6.2221341,1998,1900,2278,1722,1641,1941
1,182873,1829145302,6.222789,1841,1731,1194,1650,1563,1126
1,182874,1829155300,6.2234767,1839,1729,1200,1652,1566,1126
2,182812,1828535531,6.2240842,1998,1897,2279,1721,1639,1941
2,182813,1828545532,6.2247054,1999,1898,2276,1723,1640,1940
1,182876,1829175301,6.2253482,1839,1736,1197,1653,1569,1122
1,182877,1829185300,6.2259226,1840,1732,1194,1653,1566,1121
2,182815,1828565531,6.2265088,2000,1900,2275,1723,1641,1945
1,182878,1829195301,6.2325054,1840,1738,1190,1652,1563,1123
2,182816,1828575531,6.2331593,2000,1895,2286,1720,1639,1941
2,182817,1828585532,6.2339289,2000,1901,2277,1723,1643,1939
1,182879,1829205301,6.247908,1842,1740,1197,1653,1570,1122
1,182880,1829215301,6.2493194,1840,1735,1198,1653,1569,1126
2,182818,1828595531,6.2501471,2000,1903,2282,1723,1644,1942
1,182881,1829225301,6.2508157,1841,1731,1196,1654,1565,1124
2,182819,1828605530,6.2634856,2000,1899,2279,1720,1641,1943
1,182882,1829235301,6.2642306,1840,1738,1191,1653,1571,1123
2,182820,1828615536,6.2790569,2000,1899,2274,1723,1628,1939
2,182821,1828625532,6.2796913,1997,1898,2285,1723,1641,1942
1,182883,1829245301,6.294802,1840,1735,1198,1653,1565,1121
1,182884,1829255301,6.2955492,1839,1735,1195,1653,1571,1121
2,182822,1828635544,6.2961413,1998,1903,2278,1723,1636,1943
2,182823,1828645532,6.2967714,2000,1898,2278,1722,1640,1943
1,182886,1829275302,6.3553024,1835,1739,1192,1651,1565,1120
2,182824,1828655531,6.3564516,1999,1893,2277,1721,1640,1940
1,182887,1829285301,6.3573274,1840,1740,1200,1653,1566,1120
2,182825,1828665531,6.3578527,2000,1893,2282,1723,1640,1948
1,182888,1829295301,6.3583781,1838,1735,1191,1653,1562,1122
2,182826,1828675531,6.3589895,1999,1897,2278,1723,1638,1943
1,182889,1829305301,6.3596911,1838,1734,1191,1649,1566,1119
2,182827,1828685532,6.3604085,2000,1899,2278,1721,1642,1949
1,182890,1829315302,6.361079,1838,1731,1196,1651,1563,1123
2,182828,1828695531,6.3620522,2000,1894,2284,1719,1643,1941
1,182891,1829325301,6.3714757,1838,1739,1195,1654,1569,1120
2,182829,1828705531,6.3724179,1999,1895,2274,1722,1643,1942
1,182892,1829335301,6.3735218,1841,1734,1194,1653,1565,1122
2,182830,1828715540,6.3748483,2000,1894,2281,1722,1639,1941
2,182831,1828725532,6.3868713,1998,1899,2275,1720,1643,1944
1,182894,1829355300,6.3878753,1840,1737,1196,1653,1571,1125
2,182832,1828735530,6.3888153,2001,1895,2273,1720,1642,1941
1,182895,1829365301,6.4038736,1840,1728,1195,1649,1569,1123
1,182896,1829375301,6.4050764,1839,1731,1189,1653,1570,1123
2,182834,1828755532,6.418662,2000,1897,2274,1722,1645,1948
1,182897,1829385301,6.4199455,1840,1742,1194,1655,1568,1124
2,182835,1828765531,6.4212517,2000,1895,2282,1723,1641,1944
1,182898,1829395301,6.4224753,1838,1739,1189,1653,1571,1126
1,182899,1829405301,6.4415816,1838,1733,1190,1652,1566,1122
2,182837,1828785531,6.4528836,1998,1899,2279,1722,1643,1942
1,182900,1829415300,6.4536812,1838,1735,1191,1653,1570,1122
2,182838,1828795533,6.454361,2000,1901,2278,1721,1640,1959
1,182901,1829425301,6.4650814,1838,1728,1191,1653,1569,1124
2,182839,1828805531,6.4657861,1999,1895,2277,1721,1638,1942
1,182902,1829435301,6.4664813,1841,1731,1199,1653,1565,1126
2,182840,1828815531,6.4807177,2000,1892,2274,1719,1641,1940
1,182903,1829445301,6.481638,1840,1733,1195,1653,1571,1121
2,182841,1828825530,6.4824676,2000,1898,2280,1723,1640,1945
1,182904,1829455301,6.4833254,1841,1732,1197,1650,1570,1124
2,182842,1828835530,6.4959096,2000,1894,2277,1724,1637,1941
1,182905,1829465301,6.4967517,1840,1730,1198,1653,1566,1123
2,182843,1828845532,6.4976118,1999,1898,2282,1723,1643,1944
1,182906,1829475301,6.5114927,1840,1732,1194,1653,1566,1125
2,182844,1828855530,6.5121993,1998,1898,2278,1723,1638,1941
1,182907,1829485301,6.5128647,1838,1737,1197,1653,1565,1124
2,182845,1828865531,6.527177,2000,1899,2275,1722,1639,1941
1,182908,1829495301,6.527857,1838,1732,1194,1653,1565,1120
1,182909,1829505301,6.5284958,1836,1732,1193,1653,1566,1122
2,182846,1828875532,6.5426444,2000,1894,2277,1723,1641,1939
2,182847,1828885530,6.543409,2000,1894,2281,1723,1641,1943
1,182910,1829515302,6.5442327,1840,1731,1198,1653,1566,1127
2,182848,1828895530,6.55839,1997,1901,2285,1720,1638,1940
1,182911,1829525301,6.5591219,1837,1737,1196,1652,1562,1121
