seq,t_us,wall_s,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z
74582,746224747,1.4753759,4021,1911,0,3122,1711,142
74583,746234746,1.4759319,4002,1905,0,3116,1713,142
74584,746244746,1.4765889,4001,1907,0,3113,1709,142
74585,746254746,1.4772302,3999,1906,0,3108,1708,142
74586,746264746,1.4778798,4016,1910,0,3117,1713,142
74587,746274746,1.4996498,4027,1915,0,3119,1714,142
74588,746284746,1.5005139,4018,1907,0,3125,1711,142
74589,746294746,1.5013821,4021,1907,0,3121,1708,142
74590,746304746,1.5021711,4017,1907,0,3118,1708,142
74591,746314746,1.5168613,4031,1914,0,3123,1715,142
74592,746324746,1.5178002,4028,1910,0,3120,1709,142
74594,746344747,1.5784507,4023,1907,0,3124,1711,142
74595,746354746,1.5793652,4019,1910,0,3117,1708,142
74596,746364746,1.5801652,4018,1906,0,3115,1713,142
74597,746374747,1.5808892,4030,1909,0,3117,1708,142
74598,746384747,1.5816566,4018,1909,0,3119,1708,142
74599,746394747,1.7191137,4016,1909,0,3117,1707,142
74600,746404746,1.7200848,4016,1917,0,3117,1708,142
74601,746414746,1.7205686,4007,1909,0,3121,1710,142
74602,746424746,1.7209723,4021,1910,0,3112,1708,142
74604,746444747,1.7213556,4001,1905,0,3115,1708,142
74605,746454746,1.7218087,4007,1907,0,3112,1707,142
74606,746464746,1.722224,4006,1909,0,3112,1714,142
74607,746474746,1.7226148,4006,1909,0,3116,1713,142
74608,746484747,1.7230146,4013,1906,0,3115,1713,142
74609,746494746,1.7234132,4014,1913,0,3111,1711,142
74610,746504746,1.7238913,4004,1904,0,3112,1709,142
74611,746514746,1.7244689,4017,1919,0,3115,1709,142
74612,746524746,1.7248762,4011,1908,0,3113,1705,142
74613,746534746,1.7587641,4000,1906,0,3110,1717,142
74614,746544747,1.7596711,4017,1907,0,3116,1708,142
74615,746554747,1.7604575,4013,1914,0,3115,1708,142
74616,746564747,1.7769712,4003,1915,0,3110,1713,142
74617,746574746,1.7778734,4017,1915,0,3113,1711,142
74618,746584747,1.783251,4007,1911,0,3115,1714,142
74619,746594746,1.9072707,4013,1913,0,3116,1714,142
74620,746604746,1.9079955,4014,1915,0,3120,1713,142
74621,746614747,1.9087031,4016,1914,0,3112,1708,142
74622,746624746,1.9093129,3999,1910,0,3113,1710,142
74623,746634746,1.9097412,4007,1908,0,3108,1704,142
74624,746644747,1.910141,4003,1904,0,3106,1707,142
74625,746654746,1.9105464,3999,1905,0,3113,1714,142
74626,746664746,1.9109272,3999,1914,0,3105,1708,142
74627,746674747,1.9113035,3998,1903,0,3105,1709,142
74628,746684746,1.9116818,3985,1911,0,3103,1711,142
74629,746694747,1.9120583,3963,1909,0,3098,1713,142
74630,746704747,1.9124807,3954,1905,0,3086,1705,142
74631,746714746,1.9128775,3866,1899,0,3044,1703,142
74633,746734747,2.0891834,4013,1917,0,3117,1708,142
74634,746744746,2.0903268,4016,1915,0,3112,1708,142
74635,746754746,2.0913646,4017,1911,0,3112,1711,142
74636,746764746,2.0924338,3999,1915,0,3112,1705,142
74637,746774746,2.0935853,3952,1911,0,3090,1709,142
74638,746784747,2.0948177,3969,1905,0,3101,1705,142
74639,746794746,2.0957226,3983,1905,0,3104,1705,142
74640,746804747,2.0967126,3985,1913,0,3105,1707,142
74641,746814746,2.0976222,3939,1904,0,3076,1707,142
74642,746824746,2.0985501,3867,1892,0,3059,1698,142
74643,746834747,2.0995576,3939,1902,0,3082,1704,142
74644,746844746,2.1003565,3954,1904,0,3090,1705,142
74645,746854747,2.1012266,3952,1904,0,3090,1705,142
74646,746864746,2.102083,3941,1904,0,3090,1708,142
74647,746874747,2.1028164,3937,1904,0,3087,1705,142
74648,746884746,2.1034982,3927,1901,0,3083,1702,142
74649,746894747,2.1047148,3942,1900,0,3084,1697,142
74650,746904746,2.1107922,3946,1904,0,3084,1705,142
74651,746914746,2.1117272,3927,1904,0,3074,1706,142
74652,746924747,2.2384649,3895,1900,0,3069,1705,142
74653,746934747,2.2397478,3901,1897,0,3064,1705,142
74654,746944746,2.2405703,3890,1893,0,3063,1704,142
74655,746954746,2.2411591,3882,1902,0,3062,1705,142
74656,746964746,2.242208,3908,1898,0,3076,1705,142
74657,746974747,2.2428926,3905,1903,0,3070,1704,142
74658,746984747,2.2439299,3899,1899,0,3071,1703,142
74659,746994747,2.2445959,3897,1903,0,3068,1701,142
74660,747004746,2.2452569,3856,1889,0,3051,1701,142
74661,747014747,2.2458871,3873,1901,0,3056,1704,142
74662,747024746,2.2465092,3883,1902,0,3062,1699,142
