seq,t_us,wall_s,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z
7148,71884745,0.1797144,1995,1685,0,1781,1525,142
7149,71894745,0.1865045,1987,1685,0,1773,1530,142
7150,71904745,0.1921277,1997,1690,0,1778,1530,142
7151,71914745,0.1944009,1993,1686,0,1775,1534,142
7152,71924745,0.1980722,1994,1682,0,1776,1526,142
7153,71934745,0.2028184,1987,1691,0,1769,1534,142
7154,71944745,0.2038457,1991,1686,0,1777,1530,142
7155,71954745,0.2044282,1989,1695,0,1772,1530,142
7156,71964745,0.204949,1991,1694,0,1780,1529,142
7157,71974745,0.205429,1991,1690,0,1776,1526,142
7158,71984745,0.206007,1991,1681,0,1779,1533,142
7159,71994745,0.2065787,1994,1690,0,1775,1530,142
7160,72004745,0.2075925,1991,1692,0,1779,1526,142
7161,72014745,0.2083383,1995,1680,0,1776,1532,142
7162,72024745,0.2094941,1991,1680,0,1775,1521,142
7163,72034745,0.2109468,1995,1683,0,1782,1526,142
7164,72044745,0.2118446,1994,1690,0,1778,1526,142
7165,72054745,0.212464,1996,1683,0,1775,1524,142
7166,72064745,0.2130481,1998,1683,0,1775,1524,142
7167,72074745,0.2142472,1994,1680,0,1775,1525,142
7168,72084745,0.215217,1990,1681,0,1775,1527,142
7169,72094745,0.2160872,1994,1680,0,1773,1527,142
7170,72104745,0.2170084,1991,1689,0,1782,1524,142
7171,72114745,0.2180965,1992,1687,0,1773,1526,142
7172,72124745,0.2196283,1994,1681,0,1779,1521,142
7173,72134745,0.2211245,1987,1683,0,1776,1524,142
7174,72144745,0.2217409,1990,1687,0,1777,1530,142
7175,72154747,0.2222503,1990,1689,0,1773,1530,142
7176,72164745,0.2228,1990,1689,0,1773,1530,142
7177,72174745,0.2232881,1989,1691,0,1773,1529,142
7178,72184745,0.2237278,1995,1691,0,1777,1526,142
7179,72194745,0.2243517,1993,1686,0,1776,1526,142
7180,72204745,0.2249406,1988,1686,0,1778,1532,142
7181,72214745,0.2254312,1985,1685,0,1774,1526,142
7182,72224745,0.225992,1989,1683,0,1775,1528,142
7183,72234745,0.2265639,1989,1689,0,1771,1525,142
7184,72244745,0.2273041,1990,1691,0,1778,1526,142
7185,72254745,0.2279873,1987,1685,0,1775,1525,142
7186,72264745,0.2285471,1988,1683,0,1775,1529,142
7187,72274745,0.2291343,1998,1683,0,1778,1521,142
7188,72284745,0.2297667,1995,1686,0,1777,1525,142
7189,72294745,0.2308667,1989,1681,0,1776,1522,142
7190,72304745,0.2316762,1995,1691,0,1775,1525,142
7191,72314745,0.2322085,1994,1682,0,1778,1526,142
7192,72324745,0.2327471,1989,1685,0,1776,1527,142
7193,72334745,0.2333769,1994,1687,0,1779,1524,142
7194,72344745,0.234048,1990,1686,0,1780,1527,142
7195,72354745,0.2353763,1991,1690,0,1782,1525,142
7196,72364745,0.2359392,1991,1686,0,1774,1526,142
7197,72374745,0.2364954,1988,1691,0,1777,1529,142
7198,72384745,0.2371328,1990,1687,0,1778,1527,142
7199,72394745,0.2376146,1987,1695,0,1777,1525,142
7200,72404745,0.238071,1985,1686,0,1777,1527,142
7201,72414745,0.2385272,1989,1685,0,1779,1522,142
7202,72424745,0.2390206,1991,1689,0,1773,1527,142
7203,72434745,0.2395449,1990,1685,0,1775,1527,142
7204,72444745,0.2399958,1990,1690,0,1779,1527,142
7205,72454745,0.2406219,1994,1691,0,1777,1522,142
7206,72464745,0.2413729,1986,1685,0,1775,1523,142
7207,72474745,0.2421531,1991,1687,0,1772,1521,142
7208,72484745,0.2427974,1996,1691,0,1779,1530,142
7209,72494745,0.2432842,1989,1680,0,1777,1530,142
7210,72504745,0.2437449,1993,1691,0,1776,1521,142
7211,72514745,0.244217,1987,1687,0,1779,1522,142
7212,72524745,0.2447453,1991,1690,0,1779,1521,142
7213,72534745,0.2453758,1994,1686,0,1778,1523,142
7214,72544745,0.2460801,1994,1681,0,1773,1522,142
7215,72554745,0.2465883,1997,1689,0,1777,1527,142
7216,72564745,0.2470392,1994,1683,0,1777,1527,142
7217,72574745,0.2474794,1995,1683,0,1779,1527,142
7218,72584745,0.2479877,1988,1686,0,1777,1527,142
7219,72594745,0.2485384,1991,1683,0,1767,1527,142
7220,72604745,0.249075,1994,1685,0,1775,1526,142
7221,72614745,0.249725,1989,1687,0,1777,1530,142
7222,72624745,0.2503671,1991,1684,0,1781,1527,142
7223,72634745,0.250925,1993,1686,0,1775,1530,142
7224,72644745,0.2514258,1991,1686,0,1776,1524,142
7225,72654745,0.2519668,1989,1684,0,1776,1530,142
7226,72664745,0.2524553,1991,1692,0,1777,1527,142
7227,72674745,0.2529173,1991,1683,0,1777,1525,142
7228,72684745,0.2533635,1989,1682,0,1779,1527,142
7229,72694745,0.2538321,1988,1688,0,1777,1529,142
7230,72704745,0.2543715,1994,1680,0,1778,1524,142
7231,72714745,0.2548755,1985,1686,0,1780,1530,142
7232,72724745,0.2553082,1995,1687,0,1777,1533,142
7233,72734745,0.2557651,1991,1683,0,1780,1526,142
7234,72744745,0.2568491,1989,1685,0,1779,1530,142
7235,72754745,0.257508,1991,1691,0,1775,1524,142
7236,72764745,0.2579922,1999,1691,0,1777,1530,142
7237,72774745,0.2585022,1991,1687,0,1780,1530,142
7238,72784745,0.2590113,1990,1685,0,1772,1525,142
7239,72794745,0.2595419,1990,1693,0,1773,1526,142
7240,72804745,0.2600047,1989,1690,0,1776,1523,142
7241,72814745,0.2611834,1989,1687,0,1773,1531,142
7242,72824745,0.261832,1996,1689,0,1778,1534,142
7243,72834745,0.2624636,1991,1687,0,1775,1525,142
7244,72844745,0.263094,1989,1690,0,1784,1527,142
7245,72854745,0.2635796,1991,1685,0,1780,1530,142
7246,72864745,0.2642594,1998,1693,0,1781,1521,142
7247,72874745,0.265345,1997,1686,0,1774,1525,142
7248,72884745,0.2659882,1987,1687,0,1774,1524,142
7249,72894745,0.2675175,1991,1685,0,1777,1525,142
7250,72904745,0.2705239,1993,1683,0,1777,1529,142
7251,72914745,0.2712362,1990,1686,0,1777,1527,142
7252,72924745,0.2718078,1991,1681,0,1778,1527,142
7253,72934745,0.2725312,1992,1683,0,1777,1525,142
7254,72944745,0.2731397,1996,1694,0,1781,1527,142
7255,72954745,0.2736219,1989,1687,0,1778,1525,142
7256,72964745,0.2745469,1989,1690,0,1786,1525,142
7257,72974745,0.2750438,1991,1686,0,1777,1529,142
7258,72984745,0.2754777,1991,1687,0,1779,1530,142
7259,72994745,0.2761189,1986,1687,0,1777,1529,142
7260,73004745,0.278151,1994,1682,0,1778,1527,142
7261,73014745,0.278904,1993,1689,0,1777,1529,142
7262,73024745,0.2795363,1994,1694,0,1772,1525,142
7263,73034745,0.280201,1994,1683,0,1776,1530,142
7264,73044745,0.2807088,1991,1684,0,1779,1526,142
7265,73054745,0.2814463,1993,1690,0,1774,1526,142
7266,73064745,0.2820487,1989,1681,0,1776,1532,142
7267,73074745,0.2825042,1990,1683,0,1780,1522,142
7268,73084745,0.2830112,1991,1683,0,1777,1527,142
7269,73094745,0.2834862,1991,1690,0,1775,1525,142
7270,73104745,0.2840398,1990,1687,0,1778,1527,142
7271,73114745,0.2845417,1989,1685,0,1778,1530,142
7272,73124745,0.2851005,1995,1683,0,1773,1530,142
7273,73134745,0.2858288,1991,1686,0,1775,1526,142
7274,73144745,0.2865715,1991,1683,0,1777,1530,142
7275,73154745,0.2872915,1994,1713,0,1767,1525,142
7276,73164745,0.2883798,1989,1692,0,1779,1521,142
7277,73174745,0.2891044,1994,1687,0,1782,1527,142
7278,73184745,2.0408475,1997,1693,0,1778,1523,142
7279,73194745,2.0426059,1994,1685,0,1779,1530,142
7280,73204745,2.0436595,1991,1691,0,1775,1525,142
7281,73214745,2.0445817,1994,1685,0,1777,1527,142
7282,73224745,2.0454291,1994,1687,0,1779,1524,142
7283,73234745,2.046221,1987,1685,0,1778,1524,142
7284,73244745,2.0470222,1998,1685,0,1777,1524,142
7285,73254745,2.0477183,1991,1686,0,1775,1526,142
7286,73264745,2.0483747,1997,1690,0,1779,1529,142
7287,73274745,2.0492691,1990,1690,0,1779,1524,142
7288,73284745,2.0501052,1997,1683,0,1780,1532,142
7289,73294745,2.0515725,1991,1689,0,1782,1527,142
7290,73304745,2.0526316,1998,1685,0,1776,1529,142
7291,73314745,2.0535935,1994,1689,0,1777,1526,142
7292,73324745,2.054585,1993,1686,0,1775,1521,142
7293,73334745,2.0557007,1994,1690,0,1782,1523,142
7294,73344745,2.0566538,1993,1682,0,1782,1523,142
7295,73354745,2.0576994,1991,1691,0,1776,1530,142
7296,73364746,2.0595181,1990,1686,0,1782,1530,142
7297,73374745,2.0605859,1990,1687,0,1780,1534,142
7298,73384745,2.061444,1991,1687,0,1776,1532,142
7299,73394745,2.0621898,1994,1681,0,1778,1526,142
7300,73404745,2.0630129,1991,1686,0,1780,1525,142
7301,73414745,2.0641395,1994,1691,0,1777,1529,142
7302,73424745,2.0651768,1993,1691,0,1775,1534,142
7303,73434745,2.0662871,1991,1686,0,1779,1529,142
7304,73444745,2.0673401,1996,1689,0,1780,1525,142
7305,73454745,2.0682168,1990,1683,0,1778,1525,142
7306,73464745,2.0691098,1994,1687,0,1777,1527,142
7307,73474745,2.0699836,1991,1686,0,1777,1534,142
7308,73484745,2.0708323,1989,1685,0,1776,1530,142
7309,73494745,2.0718131,1987,1682,0,1776,1527,142
7310,73504745,2.0726325,1998,1680,0,1779,1524,142
7311,73514745,2.0736234,1986,1693,0,1780,1522,142
7312,73524745,2.0746094,1991,1687,0,1782,1530,142
7313,73534745,2.0761123,1995,1689,0,1780,1523,142
7314,73544745,2.0770064,1997,1680,0,1777,1528,142
7315,73554745,2.0781135,1995,1686,0,1780,1526,142
7316,73564745,2.0796306,1996,1682,0,1778,1522,142
7317,73574745,2.0805051,1997,1687,0,1778,1521,142
7318,73584745,2.0814825,1993,1685,0,1780,1529,142
7319,73594745,2.0824425,1987,1685,0,1776,1526,142
7320,73604745,2.0832381,1996,1691,0,1777,1527,142
7321,73614745,2.0841702,1990,1686,0,1772,1530,142
7322,73624745,2.0850269,1993,1687,0,1780,1524,142
7323,73634745,2.0859668,1994,1684,0,1775,1526,142
7324,73644745,2.0868712,1991,1687,0,1776,1539,142
7325,73654745,2.0878306,1987,1685,0,1776,1524,142
7326,73664745,2.088666,1993,1683,0,1776,1530,142
7327,73674745,2.0895596,1990,1685,0,1775,1525,142
7328,73684745,2.0905563,1994,1687,0,1777,1526,142
7329,73694745,2.0915946,1991,1686,0,1777,1522,142
7330,73704745,2.0924562,1989,1690,0,1777,1527,142
7331,73714745,2.0933354,1986,1684,0,1777,1526,142
7332,73724745,2.0942695,1994,1686,0,1778,1524,142
7333,73734745,2.0951027,1987,1684,0,1781,1530,142
7334,73744745,2.0958507,1990,1686,0,1777,1522,142
7335,73754745,2.0967892,1991,1683,0,1780,1527,142
7336,73764745,2.0979907,1987,1687,0,1780,1532,142
7337,73774745,2.0988121,1992,1685,0,1769,1524,142
7338,73784745,2.1001145,1989,1686,0,1779,1521,142
7339,73794745,2.1016053,1995,1683,0,1782,1527,142
7340,73804745,2.103323,1992,1684,0,1774,1524,142
7341,73814745,2.1051794,1994,1689,0,1777,1530,142
7342,73824745,2.1066594,1991,1683,0,1777,1533,142
7343,73834745,2.1079498,1995,1689,0,1779,1530,142
7344,73844745,2.1095882,1994,1685,0,1775,1525,142
7345,73854745,2.1105425,1994,1690,0,1772,1530,142
7346,73864745,2.1119756,1995,1685,0,1780,1527,142
7347,73874745,2.1133389,1986,1686,0,1775,1530,142
