seq,t_us,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z
0,342270,1813,1774,401,1634,1609,473
1,351399,1830,1770,386,1635,1604,473
2,361399,1809,1775,411,1636,1605,476
3,371399,1811,1772,402,1640,1600,482
4,381400,1816,1774,403,1647,1607,474
5,391400,1805,1770,400,1639,1609,465
6,401399,1807,1768,401,1615,1608,478
7,411399,1808,1776,402,1638,1609,472
8,421400,1805,1771,398,1644,1638,473
9,431400,1811,1774,410,1675,1608,472
10,441399,1814,1769,399,1641,1608,455
11,451399,1810,1765,403,1643,1607,472
12,461400,1813,1775,401,1638,1605,478
13,471400,1809,1774,400,1625,1605,474
14,481399,1813,1776,400,1647,1608,472
15,491400,1810,1775,400,1638,1613,458
16,501399,1824,1770,389,1630,1611,472
17,511400,1813,1774,397,1640,1608,468
18,521400,1814,1779,398,1641,1602,425
19,531399,1815,1775,402,1640,1606,467
20,541400,1817,1772,400,1641,1600,472
21,551399,1814,1770,385,1639,1598,472
22,561400,1814,1775,399,1637,1609,471
23,571399,1829,1776,400,1637,1605,475
24,581399,1808,1770,363,1583,1603,472
25,591400,1819,1776,400,1645,1608,470
26,601399,1809,1774,399,1602,1609,472
27,611399,1819,1774,415,1636,1607,471
28,621400,1891,1769,385,1637,1609,471
29,631400,1810,1774,398,1640,1605,472
30,641400,1815,1776,400,1636,1605,482
31,651399,1810,1775,395,1578,1608,472
32,661399,1878,1775,401,1637,1606,476
33,671400,1830,1773,399,1636,1540,472
34,681400,1810,1770,335,1636,1605,490
35,691400,1804,1769,422,1613,1604,469
36,701400,1812,1774,397,1641,1572,472
37,711399,1812,1774,330,1584,1608,446
38,721400,1821,1773,399,1645,1608,472
39,731400,1810,1759,400,1643,1604,506
40,741400,1814,1776,368,1644,1605,472
41,751400,1821,1773,400,1636,1583,463
42,761399,1808,1774,400,1643,1622,469
43,771400,1814,1769,394,1637,1546,470
44,781399,1818,1776,400,1641,1600,472
45,791399,1819,1771,397,1641,1612,469
46,801400,1810,1774,395,1623,1608,459
47,811399,1808,1775,400,1632,1608,464
48,821399,1819,1769,398,1643,1607,465
49,831400,1814,1775,399,1640,1602,472
50,841400,1824,1773,412,1755,1607,464
51,851400,1807,1775,398,1668,1607,472
52,861400,1811,1777,395,1641,1556,472
53,871399,1815,1776,399,1636,1614,472
54,881399,1810,1776,395,1655,1606,460
55,891400,1815,1776,399,1638,1608,468
56,901400,1783,1773,399,1636,1596,469
57,911400,1809,1774,399,1640,1610,472
58,921400,1815,1774,400,1638,1604,470
59,931400,1805,1771,400,1636,1614,471
60,941400,1808,1777,417,1609,1609,468
61,951400,1811,1775,403,1641,1591,468
62,961399,1815,1773,400,1641,1594,474
63,971400,1811,1776,401,1641,1596,472
64,981399,1745,1770,399,1638,1606,482
65,991400,1808,1773,402,1640,1601,472
66,1001399,1813,1776,393,1640,1608,472
67,1011399,1813,1773,397,1637,1596,474
68,1021399,1810,1775,400,1575,1609,450
69,1031399,1820,1772,400,1636,1608,472
70,1041400,1812,1773,394,1629,1608,445
71,1051400,1821,1770,398,1639,1596,467
72,1061400,1815,1771,399,1645,1608,472
73,1071399,1808,1775,402,1650,1608,472
74,1081399,1809,1773,400,1638,1605,472
75,1091400,1812,1775,398,1641,1609,472
76,1101399,1812,1775,400,1641,1557,471
77,1111399,1814,1772,400,1636,1608,446
78,1121400,1819,1771,399,1645,1603,472
79,1131399,1819,1771,402,1638,1597,469
80,1141400,1839,1771,403,1641,1603,468
81,1151400,1817,1771,399,1636,1609,472
82,1161399,1808,1774,390,1636,1608,472
83,1171400,1808,1774,464,1640,1608,472
84,1181399,1809,1775,391,1636,1604,477
85,1191400,1817,1775,400,1638,1598,472
86,1201400,1815,1775,395,1636,1602,472
87,1211399,1795,1775,393,1636,1608,467
88,1221400,1811,1776,400,1644,1605,467
89,1231400,1815,1767,368,1639,1603,471
90,1241399,1799,1773,400,1641,1544,477
91,1251399,1836,1773,390,1644,1538,471
92,1261400,1808,1773,390,1748,1606,475
93,1271399,1810,1776,399,1640,1613,470
94,1281400,1810,1767,398,1641,1607,471
95,1291400,1767,1776,413,1641,1609,471
96,1301400,1815,1770,400,1623,1608,472
97,1311400,1814,1776,398,1636,1609,472
98,1321400,1809,1775,391,1641,1607,470
99,1331399,1811,1773,355,1632,1608,471
100,1341400,1800,1776,426,1635,1605,544
101,1351399,1811,1764,400,1636,1604,471
102,1361399,1808,1745,400,1639,1600,472
103,1371399,1810,1771,432,1627,1603,459
104,1381399,1821,1773,390,1614,1606,472
105,1391400,1833,1773,397,1640,1608,472
106,1401400,1798,1772,425,1638,1609,472
107,1411399,1817,1776,398,1654,1606,476
108,1421399,1812,1776,398,1643,1609,471
109,1431400,1804,1776,399,1639,1603,469
110,1441399,1830,1773,400,1644,1610,486
111,1451399,1811,1771,394,1670,1604,520
