seq,t_us,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z
0,342264,1806,1776,466,1651,1608,472
1,351394,1819,1775,489,1637,1597,467
2,361393,1808,1777,394,1601,1606,433
3,371393,1808,1778,394,1636,1551,472
4,381394,1823,1775,390,1636,1618,472
5,391394,1811,1774,391,1661,1607,473
6,401394,1811,1774,395,1641,1607,471
7,411393,1814,1775,418,1641,1598,469
8,421394,1813,1771,391,1646,1618,474
9,431393,1810,1774,393,1640,1602,464
10,441394,1817,1767,388,1636,1602,472
11,451394,1807,1776,384,1632,1590,472
12,461394,1808,1776,384,1636,1613,472
13,471394,1810,1781,385,1636,1612,470
14,481394,1814,1775,397,1641,1594,472
15,491394,1819,1776,391,1641,1595,467
16,501395,1823,1774,398,1651,1603,467
17,511393,1815,1775,391,1645,1604,472
18,521394,1830,1769,392,1647,1605,470
19,531394,1815,1777,399,1641,1605,465
20,541394,1818,1773,398,1636,1606,546
21,551393,1807,1776,418,1636,1613,471
22,561393,1799,1777,397,1634,1614,467
23,571393,1807,1775,380,1631,1617,468
24,581394,1810,1776,393,1645,1611,471
25,591394,1826,1781,398,1647,1607,463
26,601393,1825,1775,400,1652,1604,468
27,611394,1828,1769,426,1614,1598,468
28,621393,1840,1770,349,1640,1606,465
29,631394,1809,1775,424,1575,1608,470
30,641393,1807,1789,471,1626,1611,467
31,651394,1815,1780,342,1632,1595,471
32,661393,1808,1776,397,1636,1585,491
33,671393,1808,1771,395,1640,1607,470
34,681393,1816,1771,479,1645,1607,462
35,691393,1826,1776,367,1646,1606,475
36,701393,1837,1776,395,1648,1602,467
37,711393,1819,1776,398,1646,1609,467
38,721394,1808,1777,349,1642,1609,458
39,731394,1839,1776,400,1636,1609,468
40,741394,1810,1775,399,1636,1568,465
41,751394,1825,1769,417,1635,1604,463
42,761394,1798,1776,399,1636,1609,464
43,771394,1810,1773,400,1645,1561,467
44,781393,1827,1776,395,1643,1613,469
45,791393,1813,1776,397,1637,1609,472
46,801394,1836,1776,365,1643,1609,462
