sensor_id,status,notes,last_test_date,calibration_file,decision
sensor_A,backup_operational_ready,phase12_quickcheck_ready_for_operational_use__role_backup,2026-03-22,,pass
sensor_B,primary_operational_ready,phase12_quickcheck_ready_for_operational_use__role_primary,2026-03-22,,pass
sensor_C,historical_reference_provisional,phase10_baseline_preserved__phase11_operationally_usable_provisional_identity,2026-03-22,data/processed/sensor_C_static_calibration_20260321_140044.mat,suspect
sensor_D,rejected_module,phase12_quickcheck_hard_saturation__not_for_operational_use,2026-03-22,,fail
