seq,t_us,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z
0,342265,2012,1983,2225,1794,1765,1869
1,351394,2000,1982,2085,1794,1779,1864
2,361395,2000,1987,2091,1797,1807,1855
3,371395,1997,1982,2073,1800,1786,1795
4,381395,1997,1985,2087,1794,1776,1869
5,391395,1997,1982,2077,1799,1780,1863
6,401395,1998,1975,2086,1783,1781,1865
7,411394,1995,1979,2084,1793,1790,1865
8,421394,1998,1982,2087,1797,1780,1864
9,431395,2009,1984,2077,1794,1783,1874
10,441394,2000,1983,2024,1794,1787,1869
11,451394,1998,1983,2079,1795,1781,1865
12,461395,1999,1984,2070,1794,1783,1863
13,471394,1999,1981,2087,1791,1784,1853
14,481395,2000,1987,2085,1795,1786,1865
15,491395,2000,1981,2094,1786,1776,1882
16,501394,2006,1984,2091,1746,1780,1869
17,511394,1999,1985,2127,1795,1779,1865
18,521395,2017,1988,2027,1794,1781,1847
19,531394,1988,1983,2086,1794,1786,1866
20,541394,1993,1983,2076,1793,1782,1869
21,551395,1950,1983,2079,1784,1779,1860
22,561395,1999,1985,2103,1794,1781,1874
23,571394,2000,1979,2085,1785,1784,1863
24,581395,2000,1983,2091,1794,1772,1866
25,591394,2030,1985,2064,1757,1782,1855
26,601395,1997,1987,2086,1790,1789,1864
27,611394,2002,1981,2089,1790,1766,1865
28,621395,1968,1985,2091,1793,1784,1874
29,631395,2014,1982,2081,1803,1781,1859
30,641394,1994,1985,2082,1788,1847,1871
31,651394,2000,1984,2059,1793,1784,1869
32,661395,1999,1982,2090,1799,1790,1869
33,671394,1999,1984,2085,1793,1777,1850
34,681395,1991,1978,2087,1787,1779,1861
35,691394,2000,1984,2082,1795,1779,1876
36,701395,1954,1984,2027,1741,1765,1858
37,711395,2077,1985,2091,1799,1782,1869
38,721395,2001,1988,2080,1794,1786,1853
39,731395,2000,1985,2019,1764,1782,1868
40,741394,1994,1983,2080,1798,1782,1876
41,751394,1994,1985,2083,1787,1776,1865
42,761394,1998,1983,2086,1794,1781,1866
43,771394,2007,1987,2089,1793,1784,1866
44,781394,2027,1984,2089,1792,1775,1869
45,791394,2000,1985,2096,1793,1772,1874
46,801395,2013,1979,2091,1791,1774,1865
47,811394,2015,1987,2083,1806,1779,1861
48,821394,2002,1981,2083,1792,1774,1860
49,831395,2000,1986,2083,1787,1791,1869
50,841395,1996,1981,2086,1790,1781,1865
51,851394,1929,1984,2081,1790,1777,1865
52,861395,2001,1984,2086,1784,1724,1868
53,871394,2000,1982,2081,1792,1779,1872
54,881394,1997,1979,2087,1793,1786,1869
55,891394,1999,1984,2087,1795,1797,1863
56,901395,1938,1983,2087,1766,1782,1866
57,911394,1991,1984,2090,1785,1786,1869
58,921394,1999,1986,2086,1794,1789,1871
59,931395,1991,1983,2087,1795,1788,1860
60,941394,1998,1987,2006,1794,1785,1889
61,951395,2001,1979,2074,1794,1785,1877
62,961394,2000,1983,2068,1808,1788,1893
63,971395,2005,1979,2084,1792,1779,1874
64,981395,2002,1982,2083,1794,1783,1869
65,991395,2096,1984,2126,1823,1781,1874
66,1001394,2000,1983,2084,1813,1780,1864
67,1011395,1999,1988,2093,1794,1783,1878
68,1021395,1967,1982,2085,1794,1782,1860
69,1031395,2003,1984,2095,1797,1785,1869
70,1041395,1993,1982,2028,1779,1781,1865
71,1051395,1987,1978,2081,1803,1780,1869
72,1061394,2000,1984,2085,1793,1821,1874
73,1071395,1997,1989,2096,1797,1780,1873
74,1081395,1996,1986,2095,1795,1782,1817
75,1091394,2000,1986,2090,1800,1777,1865
76,1101395,1998,1980,2085,1794,1719,1859
77,1111394,2000,1979,2082,1798,1784,1865
78,1121395,1995,1987,2087,1797,1790,1865
79,1131395,1998,1984,2089,1755,1770,1865
80,1141395,2000,1987,2089,1801,1781,1861
81,1151394,2003,1982,2071,1797,1771,1870
82,1161394,2007,1987,2086,1794,1783,1931
83,1171394,1994,1975,2085,1794,1779,1964
84,1181394,1974,1979,2078,1792,1785,1856
85,1191395,2000,1989,2087,1780,1778,1865
86,1201395,1997,1982,2086,1794,1777,1871
87,1211395,2003,1983,2085,1769,1763,1868
88,1221394,2019,1984,2058,1774,1778,1860
89,1231394,2000,1986,2090,1796,1780,1865
90,1241395,2001,1984,2085,1791,1779,1866
91,1251394,1994,1986,2091,1792,1779,1861
92,1261395,2032,1985,2089,1793,1781,1869
93,1271395,2005,1981,2089,1792,1776,1863
94,1281395,2013,1985,2080,1787,1783,1869
95,1291394,2001,1980,2096,1790,1780,1865
96,1301395,1995,1975,2211,1741,1773,1855
97,1311394,2001,1981,2079,1795,1782,1877
98,1321394,2005,1981,2046,1794,1781,1870
99,1331395,1999,1981,2091,1792,1774,1866
100,1341394,1998,1984,2080,1731,1773,1865
101,1351394,2097,1987,2083,1808,1781,1861
102,1361394,2000,1983,2078,1793,1768,1863
103,1371395,2000,1985,2224,1840,1781,1868
104,1381395,1997,1983,2100,1794,1765,1865
105,1391394,2001,1983,2085,1793,1794,1865
106,1401395,1999,1975,2083,1793,1789,1856
107,1411394,2000,1986,2081,1794,1794,1861
108,1421395,2003,1984,2211,1793,1779,1958
109,1431395,2015,1984,2087,1790,1772,1869
110,1441395,2000,1986,2095,1792,1746,1872
111,1451394,1987,1984,2080,1760,1787,1874
112,1461394,1999,1981,2081,1821,1781,1868
113,1471395,2000,1988,2096,1793,1781,1863
114,1481395,1999,1990,2092,1782,1780,1871
115,1491394,1998,1990,2085,1794,1773,1869
116,1501394,2001,1978,2087,1794,1777,1862
117,1511395,2003,1984,2010,1794,1784,1821
118,1521394,2001,1977,2082,1794,1779,1863
119,1531395,1999,1980,2081,1794,1779,1874
120,1541395,1991,1983,2079,1784,1779,1866
121,1551394,2000,1981,2090,1788,1779,1868
122,1561394,1993,1987,2107,1794,1781,1863
123,1571395,2003,1983,2096,1794,1786,1866
124,1581394,2000,1984,2093,1799,1772,1871
125,1591394,1999,1983,2075,1793,1779,1872
126,1601394,1993,1982,2089,1795,1774,1846
127,1611395,1994,1985,2091,1794,1779,1869
128,1621395,2000,1974,2086,1797,1783,1868
129,1631395,1999,1984,2093,1785,1782,1869
130,1641395,1993,1986,2097,1787,1782,1860
131,1651394,2075,1984,2085,1782,1783,1866
132,1661395,1999,1983,2096,1803,1778,1865
133,1671395,2000,1982,2167,1794,1776,1796
134,1681394,2058,1986,2079,1793,1776,1870
135,1691394,1998,1990,2087,1786,1780,1874
136,1701395,1997,1982,2080,1799,1776,1857
137,1711394,2002,1985,2087,1794,1785,1861
138,1721394,1990,1979,2091,1794,1776,1874
139,1731394,2000,1983,2087,1794,1780,1863
140,1741394,2003,1983,2082,1792,1778,1863
141,1751394,2000,1984,2080,1793,1784,1859
142,1761395,2004,1987,2187,1794,1781,1878
143,1771394,2002,1982,2089,1794,1781,1872
144,1781395,1999,1984,2075,1793,1788,1869
145,1791395,2001,1984,2094,1795,1781,1861
146,1801395,2002,1981,2085,1794,1779,1807
147,1811395,2000,1984,2082,1793,1777,1874
