pose,run_file,samples,duration_s,freq_hz,seq_jumps,raw_x_mean,raw_y_mean,raw_z_mean,mv_x_mean,mv_y_mean,mv_z_mean
pos_x,sensor_C_pos_x_20260321_103048.csv,1193,11.91913,100.007299190461,0,1489.5691533948,1828.55322715842,1837.2665549036,1372.3897736798,1652.41994970662,1659.85079631182
pos_x,sensor_C_pos_x_20260321_103224.csv,1192,11.909131,100.007296922,0,1488.80536912752,1832.29697986577,1839.52013422819,1372.47567114094,1655.25922818792,1660.72567114094
pos_x,sensor_C_pos_x_20260321_103405.csv,1193,11.91913,100.007299190461,0,1478.70326906957,1832.66890192791,1837.83654652137,1364.53394803018,1654.98323554065,1660.63118189438
neg_x,sensor_C_neg_x_20260321_104116.csv,1191,11.89913,100.007311458905,0,2283.75818639798,1830.68849706129,1855.2107472712,2028.47942905122,1654.20486985726,1674.50545759866
neg_x,sensor_C_neg_x_20260321_104255.csv,1194,11.929129,100.007301455119,0,2282.47906197655,1827.70016750419,1858.19765494137,2028.19932998325,1652.69514237856,1676.55695142379
neg_x,sensor_C_neg_x_20260321_104434.csv,1195,11.939129,100.007295339551,0,2282.88619246862,1827.05020920502,1858.85941422594,2028.38326359833,1651.61338912134,1678.03765690377
pos_y,sensor_C_pos_y_20260321_105150.csv,1196,11.949131,100.007272495381,0,1870.29849498328,1410.0602006689,1834.42474916388,1685.51003344482,1307.15551839465,1657.73829431438
pos_y,sensor_C_pos_y_20260321_105330.csv,1192,11.909131,100.007296922,0,1868.02181208054,1409.31040268456,1834.40352348993,1686.10486577181,1307.58640939597,1658.32718120805
pos_y,sensor_C_pos_y_20260321_105508.csv,1191,11.89913,100.007311458905,0,1868.23341729639,1409.29638958858,1835.57682619647,1685.21998320739,1306.23593618808,1658.56003358522
neg_y,sensor_C_neg_y_20260321_110157.csv,1194,11.92913,100.007293071666,0,1906.32663316583,2126.24958123953,2000.93216080402,1717.55192629816,1898.15912897822,1794.78559463987
neg_y,sensor_C_neg_y_20260321_110339.csv,1196,11.949131,100.007272495381,0,1905.60284280936,2128.61204013378,1998.02926421405,1716.57608695652,1899.63127090301,1792.92892976589
neg_y,sensor_C_neg_y_20260321_110521.csv,1193,11.91913,100.007299190461,0,1906.01257334451,2129.80804694049,1997.11567476949,1716.24979044426,1901.42246437552,1791.51466890193
pos_z,sensor_C_pos_z_20260321_113706.csv,1193,11.91913,100.007299190461,0,1889.81056160939,1991.45515507125,2081.30930427494,1703.18021793797,1789.19698239732,1860.96311818944
pos_z,sensor_C_pos_z_20260321_113900.csv,1193,11.91913,100.007299190461,0,1888.34115674769,1989.00335289187,2084.83570829841,1701.02933780386,1786.15926236379,1863.87929589271
pos_z,sensor_C_pos_z_20260321_114043.csv,1194,11.92913,100.007293071666,0,1884.78140703518,1987.34003350084,2085.85427135678,1698.74958123953,1784.08710217755,1866.52931323283
neg_z,sensor_C_neg_z_20260321_115129.csv,1193,11.919103,100.007525734109,0,3783.50377200335,1763.05364626991,1625.06873428332,3021.57669740151,1598.03269069573,1485.20620284996
neg_z,sensor_C_neg_z_20260321_115319.csv,1192,11.909102,100.007540450993,0,4073.8716442953,1766.90016778523,1624.2567114094,3145.53020134228,1601.27684563758,1484.53104026846
neg_z,sensor_C_neg_z_20260321_115457.csv,1197,11.959102,100.007508925001,0,4092.84377610693,1768.97744360902,1623.73934837093,3154.16457811195,1603.33500417711,1484.30325814536
