hypothesis_id,perm_index,sign_index,phys_x_source,phys_y_source,phys_z_source,sign_x,sign_y,sign_z,mapping_label,sign_label,overall_mean_abs_gnorm_err,overall_max_abs_gnorm_err,total_seq_jumps,pose_axis_match_count,pose_sign_match_count,exact_pose_match_count,pair_axis_match_count,pair_sign_opposition_count,average_expected_axis_strength,average_cross_axis_abs,average_pair_dominance_ratio,worst_pair_dominance_ratio,raw_pair_sign_ok_count,average_raw_pair_dominance_ratio,invalid_sensitivity_count,base_score,permutation_family_rank_metric,score_global
18,3,2,y,z,x,1,-1,-1,"phys_x<=mv_y,phys_y<=mv_z,phys_z<=mv_x","[+1,-1,-1]",5.07418743120868,10.7473721271473,0,1,6,1,1,3,1,3.74416999742438,1.28683907327942,0.180199682106275,0,0.864748814038668,0,34.6108723953549,0.6,39.2108723953549
2,1,2,z,y,x,1,-1,-1,"phys_x<=mv_z,phys_y<=mv_y,phys_z<=mv_x","[+1,-1,-1]",5.10247049333132,10.7840388316563,0,1,6,1,1,3,1,3.76096643732734,1.28568062202704,0.17815212197661,0,0.862429504166385,0,34.590486779579,0.5,37.990486779579
31,4,7,y,x,z,-1,1,1,"phys_x<=mv_y,phys_y<=mv_x,phys_z<=mv_z","[-1,+1,+1]",13.2923652241593,22.6606470678131,0,0,6,0,1,3,1,8.11491115064238,0.673271138338675,0.180199682106275,3,0.744431909963435,0,33.0959894653393,0.4,35.2959894653393
15,2,7,z,x,y,-1,1,1,"phys_x<=mv_z,phys_y<=mv_x,phys_z<=mv_y","[-1,+1,+1]",13.312734595944,22.698930518643,0,0,6,0,1,3,1,8.13355686628299,0.672112687086295,0.178152121976609,3,0.739679486520776,0,33.0935076837678,0.3,34.0935076837678
27,4,3,y,x,z,-1,1,-1,"phys_x<=mv_y,phys_y<=mv_x,phys_z<=mv_z","[-1,+1,-1]",13.2923652241593,22.6606470678131,0,0,6,0,1,3,1,8.11491115064238,0.673271138338675,0.180199682106275,2,0.744431909963435,0,31.4293227986727,0.4,33.6293227986727
29,4,5,y,x,z,-1,-1,1,"phys_x<=mv_y,phys_y<=mv_x,phys_z<=mv_z","[-1,-1,+1]",13.2923652241593,22.6606470678131,0,0,6,0,1,3,1,8.11491115064238,0.673271138338675,0.180199682106275,2,0.744431909963435,0,31.4293227986727,0.4,33.6293227986727
32,4,8,y,x,z,1,1,1,"phys_x<=mv_y,phys_y<=mv_x,phys_z<=mv_z","[+1,+1,+1]",13.2923652241593,22.6606470678131,0,0,6,0,1,3,1,8.11491115064238,0.673271138338675,0.180199682106275,2,0.744431909963435,0,31.4293227986727,0.4,33.6293227986727
11,2,3,z,x,y,-1,1,-1,"phys_x<=mv_z,phys_y<=mv_x,phys_z<=mv_y","[-1,+1,-1]",13.312734595944,22.698930518643,0,0,6,0,1,3,1,8.13355686628299,0.672112687086295,0.178152121976609,2,0.739679486520776,0,31.4268410171011,0.3,32.4268410171011
13,2,5,z,x,y,-1,-1,1,"phys_x<=mv_z,phys_y<=mv_x,phys_z<=mv_y","[-1,-1,+1]",13.312734595944,22.698930518643,0,0,6,0,1,3,1,8.13355686628299,0.672112687086295,0.178152121976609,2,0.739679486520776,0,31.4268410171011,0.3,32.4268410171011
16,2,8,z,x,y,1,1,1,"phys_x<=mv_z,phys_y<=mv_x,phys_z<=mv_y","[+1,+1,+1]",13.312734595944,22.698930518643,0,0,6,0,1,3,1,8.13355686628299,0.672112687086295,0.178152121976609,2,0.739679486520776,0,31.4268410171011,0.3,32.4268410171011
25,4,1,y,x,z,-1,-1,-1,"phys_x<=mv_y,phys_y<=mv_x,phys_z<=mv_z","[-1,-1,-1]",13.2923652241593,22.6606470678131,0,0,6,0,1,3,1,8.11491115064238,0.673271138338675,0.180199682106275,1,0.744431909963435,0,29.762656132006,0.4,31.962656132006
28,4,4,y,x,z,1,1,-1,"phys_x<=mv_y,phys_y<=mv_x,phys_z<=mv_z","[+1,+1,-1]",13.2923652241593,22.6606470678131,0,0,6,0,1,3,1,8.11491115064238,0.673271138338675,0.180199682106275,1,0.744431909963435,0,29.762656132006,0.4,31.962656132006
30,4,6,y,x,z,1,-1,1,"phys_x<=mv_y,phys_y<=mv_x,phys_z<=mv_z","[+1,-1,+1]",13.2923652241593,22.6606470678131,0,0,6,0,1,3,1,8.11491115064238,0.673271138338675,0.180199682106275,1,0.744431909963435,0,29.762656132006,0.4,31.962656132006
9,2,1,z,x,y,-1,-1,-1,"phys_x<=mv_z,phys_y<=mv_x,phys_z<=mv_y","[-1,-1,-1]",13.312734595944,22.698930518643,0,0,6,0,1,3,1,8.13355686628299,0.672112687086295,0.178152121976609,1,0.739679486520776,0,29.7601743504345,0.3,30.7601743504345
12,2,4,z,x,y,1,1,-1,"phys_x<=mv_z,phys_y<=mv_x,phys_z<=mv_y","[+1,+1,-1]",13.312734595944,22.698930518643,0,0,6,0,1,3,1,8.13355686628299,0.672112687086295,0.178152121976609,1,0.739679486520776,0,29.7601743504345,0.3,30.7601743504345
14,2,6,z,x,y,1,-1,1,"phys_x<=mv_z,phys_y<=mv_x,phys_z<=mv_y","[+1,-1,+1]",13.312734595944,22.698930518643,0,0,6,0,1,3,1,8.13355686628299,0.672112687086295,0.178152121976609,1,0.739679486520776,0,29.7601743504345,0.3,30.7601743504345
26,4,2,y,x,z,1,-1,-1,"phys_x<=mv_y,phys_y<=mv_x,phys_z<=mv_z","[+1,-1,-1]",13.2923652241593,22.6606470678131,0,0,6,0,1,3,1,8.11491115064238,0.673271138338675,0.180199682106275,0,0.744431909963435,0,28.0959894653393,0.4,30.2959894653393
10,2,2,z,x,y,1,-1,-1,"phys_x<=mv_z,phys_y<=mv_x,phys_z<=mv_y","[+1,-1,-1]",13.312734595944,22.698930518643,0,0,6,0,1,3,1,8.13355686628299,0.672112687086295,0.178152121976609,0,0.739679486520776,0,28.0935076837678,0.3,29.0935076837678
