lambda,rmse_x,rmse_y,rmse_z,rmse_overall,cond_A,rcond_A,is_invertible,b_solve_method,seq_jumps_total,mean_expected_axis,mean_cross_axis_abs,mean_abs_gnorm_err,max_abs_gnorm_err,mean_residual_norm_pos_x,mean_residual_norm_neg_x,mean_residual_norm_pos_y,mean_residual_norm_neg_y,mean_residual_norm_pos_z,mean_residual_norm_neg_z,direct_global_mean_abs_gnorm_err,direct_global_max_abs_gnorm_err,direct_pose_axis_match_count,direct_pose_sign_match_count,direct_exact_pose_match_count,direct_pair_axis_match_count,direct_pair_sign_opposition_count,direct_avg_pair_dominance_ratio,direct_worst_pair_dominance_ratio,direct_mean_expected_axis,direct_mean_cross_axis_abs,direct_seq_jumps_total,cv_mean_abs_gnorm_err,cv_max_abs_gnorm_err,cv_expected_axis_mean,cv_cross_axis_abs_mean,cv_pair_axis_match_count,cv_pair_sign_opposition_count,cv_avg_pair_dominance_ratio,cv_worst_pair_dominance_ratio,cv_exact_pose_match_count,cv_n_folds,score_global,rank,is_selected
1,0.563608190892475,0.418790641607378,0.402685207878867,0.467331135628494,4704.86562670173,0.000203390294183716,1,inverse,0,0.340857156726293,0.218893961480132,0.468118338975816,0.931899187966295,1.01364319201202,0.984878393175069,0.657314854574028,0.725564148513527,0.66474437693805,0.688015257335141,0.468118338975816,0.931899187966295,4,4,4,2,2,0.905981728989337,0.399138003923061,0.340857156726293,0.218893961480132,0,0.382783998399344,0.857487976603276,0.320252639047062,0.276073548815811,1.33333333333333,2,1.09369856645906,0.0936612045016134,2.66666666666667,3,0.602186884867056,1,1
0,0.5634547789422,0.418587612077213,0.40239322848109,0.467124960877615,5393.79065164374,0.000177428488994304,1,inverse,0,0.345382812775256,0.22076810033616,0.459325738369232,0.925439430546085,1.01863774247505,0.98260873615269,0.654157688563648,0.721423715059691,0.661839592952494,0.678541010610175,0.459325738369232,0.925439430546085,4,4,4,2,2,0.929507662799545,0.42085303008145,0.345382812775256,0.22076810033616,0,0.340061311934808,0.830499239369053,0.323873628035357,0.300977528517132,1.33333333333333,1.66666666666667,1.34685820172454,0.0858339934381061,2.66666666666667,3,0.600969503763949,2,0
0.0001,0.563454778944215,0.418587612079884,0.402393228484922,0.467124960880324,5393.71166818383,0.000177431085555482,1,inverse,0,0.345382293927396,0.220767814122619,0.459326785999199,0.925440176923901,1.01863709189141,0.98260898618535,0.654158046266763,0.721424155811715,0.661839910515884,0.678542086393815,0.459326785999199,0.925440176923901,4,4,4,2,2,0.929504974186522,0.420850629222198,0.345382293927396,0.220767814122619,0,0.340065023916314,0.830500405692588,0.323873132850657,0.300974219701679,1.33333333333333,1.66666666666667,1.3468077498731,0.0858348449065543,2.66666666666667,3,0.600965592691526,3,0
0.001,0.563454779143794,0.418587612344042,0.402393228864863,0.46712496114857,5393.00096090525,0.000177454453296007,1,inverse,0,0.345377625241456,0.220765238721844,0.459336212368696,0.925446892911052,1.01863123863042,0.982611236129804,0.654161264989679,0.721428122137679,0.66184276817091,0.678551766595196,0.459336212368696,0.925446892911052,4,4,4,2,2,0.929480781490793,0.420829024978604,0.345377625241456,0.220765238721844,0,0.340098415674208,0.830510899876218,0.323868678108331,0.300944450826984,1.33333333333333,1.66666666666667,1.34635425374372,0.0858425073844943,2.66666666666667,3,0.600930436752192,4,0
0.01,0.563454799048922,0.418587638689836,0.402393266757636,0.467124987901909,5385.90416552564,0.000177688130824877,1,inverse,0,0.345331005889046,0.220739521953086,0.459430301013531,0.925513950279311,1.01857287027527,0.982633713499499,0.654193410052543,0.721467763441607,0.661871319677865,0.678648439498336,0.45943030101353,0.925513950279311,4,4,4,2,2,0.929239196946364,0.420613207797195,0.345331005889046,0.220739521953086,0,0.340430891355567,0.830618026366254,0.323824293821466,0.300647727452656,1.33333333333333,1.66666666666667,1.34187328980632,0.0859190659102694,2.66666666666667,3,0.600583010562387,5,0
0.1,0.563456737719764,0.418590204648723,0.402396957334391,0.467127593555064,5315.95012861779,0.00018002488533743,1,inverse,0,0.344871472259582,0.220486028011777,0.460353960102538,0.926174414588456,1.01800526841161,0.982856292385048,0.654510693946759,0.721861947483919,0.662154332789281,0.679602411325284,0.460353960102538,0.926174414588456,4,4,4,2,2,0.926857129345315,0.418477356380158,0.344871472259582,0.220486028011777,0,0.343616792163909,0.833657273460518,0.32339618380181,0.297774120361052,1.33333333333333,1.66666666666667,1.30192932346405,0.0866780515316606,2.66666666666667,3,0.597481624150916,6,0
10,0.566765756506407,0.422959955657468,0.408665862775316,0.47156700981442,2188.7910412048,0.000436830956097285,1,inverse,0,0.324326185907474,0.219867241217189,0.49297004066821,0.954077746942619,1.00673695440755,0.994609846267902,0.66944615136643,0.745177975393915,0.677347602566782,0.72399644692581,0.49297004066821,0.954077746942619,3,4,3,2,2,0.817764407444755,0.304069442223052,0.324326185907474,0.219867241217189,0,0.478855420953871,0.936106847228856,0.312895224010521,0.227511613996836,1,2,0.814856495989055,0.131164630292216,2.33333333333333,3,0.544619509477939,7,0
