axis,raw_mean,raw_std,raw_min,raw_max,raw_span,sat_hi_pct,sat_lo_pct,sat_any_pct,stuck_rail
x,1933.23946488294,5.29297378386527,1904,1963,59,0,0,0,0
y,1731.10635451505,5.89231398431326,1697,1764,67,0,0,0,0
z,1451.41939799331,6.89567809226091,1409,1506,97,0,0,0,0
