pose,runs_found,seq_jumps_total,freq_mean_hz,mean_gx,mean_gy,mean_gz,mean_gnorm,mean_abs_gnorm_err,max_abs_gnorm_err,mean_expected_axis,mean_cross_axis_abs,dominant_axis,dominant_sign,axis_match,sign_match,exact_match
pos_x,3,0,100.011305457345,0.999999999999991,-0.606832076886889,-0.712715885845201,1.97411529935959,1.03973744591322,2.79830259762534,0.999999999999991,0.659773981366045,x,1,1,1,1
neg_x,3,0,100.01132235577,-0.999999999999991,-0.238271477044639,-0.356411641891982,1.44439762006375,1.06255470416099,2.2604284863371,0.999999999999991,0.297341559468311,x,-1,1,1,1
pos_y,3,0,100.010999945632,26.6001982878665,1,0.85301394584778,26.6328979954863,25.6328979954863,26.9946149716152,1,13.7266061168572,x,1,0,1,0
neg_y,3,0,100.010973022803,29.9108651538438,-1,-1.09557429707744,29.9477077801268,28.9477077801268,29.7288830743171,1,15.5032197254606,x,1,0,1,0
pos_z,3,0,100.011363601743,-6.91581360937244,1.14896928072845,1,7.09391570847817,6.09391570847817,7.34067091405922,1,4.03239144505045,x,-1,0,1,0
neg_z,3,0,100.011306003921,0.0762608662492417,-0.89632067502678,-1,1.46629719309876,0.466297193098757,0.505695974987044,1,0.701592829787021,z,-1,1,1,1
