pose,runs_found,freq_mean_hz,freq_std_hz,seq_jumps_total,raw_x_pose_mean,raw_y_pose_mean,raw_z_pose_mean,mv_x_pose_mean,mv_y_pose_mean,mv_z_pose_mean,raw_x_mean_range,raw_y_mean_range,raw_z_mean_range,mv_x_mean_range,mv_y_mean_range,mv_z_mean_range
pos_x,3,100.007298434308,1.30969634922659e-06,0,1485.6925971973,1831.17303631737,1838.20774521772,1369.79979761697,1654.2208044784,1660.40254978238,10.8658843252304,4.11567476948881,2.2535793245836,7.94172311076341,2.83927848129747,0.874874829120699
neg_x,3,100.007302751192,8.13745939921098e-06,0,2283.04114694772,1828.47962459017,1857.42260547951,2028.35400754426,1652.83780045239,1676.36668864207,1.27912442143543,3.63828785627197,3.64866695474075,0.280099067967967,2.59148073592382,3.53219930510909
pos_y,3,100.007293625429,1.9689834848626e-05,0,1868.8512414534,1409.55566431401,1834.80169961676,1685.61162747467,1306.99262132623,1658.20850303589,2.27668290274073,0.763811080315463,1.17330270654065,0.884882564423151,1.3504732078959,0.821739270841363
neg_y,3,100.007288252502,1.39848160737832e-05,0,1905.98068310657,2128.22322277127,1998.69236659585,1716.79260123298,1899.73762141892,1793.07639776923,0.723790356464633,3.55846570095537,3.81648603453164,1.30213585389924,3.26333539729944,3.27092573793811
pos_z,3,100.007297150863,3.53268812061742e-06,0,1887.64437513075,1989.26618048799,2083.99976131004,1700.98637899379,1786.48111564622,1863.79057577166,5.02915457421227,4.11512157041147,4.54496708184706,4.43063669844059,5.10988021976323,5.56619504339255
neg_z,3,100.007525036701,1.57745624574131e-05,0,3983.40639746853,1766.31041922139,1624.35493135455,3107.09049228525,1600.88151350347,1484.68016708793,309.340004103581,5.9237973391148,1.32938591239213,132.587880710438,5.30231348138432,0.902944704594802
