axis_pair,delta_mv_x,delta_mv_y,delta_mv_z,dominant_channel_observed,dominant_sign_observed,dominance_ratio,dominant_abs_mv,second_abs_mv,expected_channel,expected_sign,status,ambiguous_low_ratio,ambiguous_low_delta
x,-64.7969853527065,-57.3342184900584,-56.8951848219986,x,-1,1.13016252875134,64.7969853527065,57.3342184900584,x,1,ambiguous,1,0
y,107.260616211208,311.125055226188,311.153431666,z,1,1.00009120589723,311.153431666,311.125055226188,y,1,ambiguous,1,0
z,226.532673690945,318.170475218957,319.362936521568,z,1,1.00374786913145,319.362936521568,318.170475218957,z,1,ambiguous,1,0
