pose,runs_found,freq_mean_hz,seq_jumps_total,mean_gx,mean_gy,mean_gz,mean_gnorm,mean_abs_gnorm_err,max_abs_gnorm_err,mean_expected_axis,mean_cross_axis_abs,dominant_axis,dominant_sign,axis_match_count,sign_match_count,exact_match_count
pos_x,3,100.007298434308,0,1,-0.171593798675214,0.000232940034257411,1.01880650603151,0.0337188598668099,0.36789697386038,1,0.102362116351552,x,1,3,3,3
neg_x,3,100.007302751192,0,-1,-0.166927360237791,0.0789856790640768,1.02089255521327,0.0336246455995861,0.402362081105358,1,0.129355385196427,x,-1,3,3,3
pos_y,3,100.007293625429,0,0.0408934447702714,1,-0.0105905182408554,1.00425118838,0.0300528251201173,0.501694237550127,1,0.0416238096957339,y,1,3,3,3
neg_y,3,100.007288252502,0,-0.0538017930348269,-0.999999999999997,0.654726678683302,1.20023955338842,0.201351009097894,0.635688088155263,0.999999999999997,0.358935137600149,y,-1,3,3,3
pos_z,5,100.007284163307,0,-0.284305850539131,-0.605219281131611,0.999999999999999,1.20553089776671,0.206731021527458,0.70288184084278,0.999999999999999,0.444762565835371,z,1,5,5,5
neg_z,5,100.007296778702,0,-0.301158695071326,0.11958653310544,-0.999999999999999,1.05623343207675,0.0771986988475967,0.553136036254535,0.999999999999999,0.213251801450474,z,-1,5,5,5
