channel,mean_mv_st_off,mean_mv_st_on,delta_mv_on_minus_off,sem_delta_mv,delta_zscore,inferred_chip_axis,expected_st_sign
x,3151.85038363171,1929.3564993565,-1222.49388427521,1.68956462816817,-723.555562121732,unknown,unknown
y,863.289002557545,860.537966537967,-2.75103601957824,1.08750868562711,-2.52966808995355,unknown,unknown
z,858.070332480818,854.835263835264,-3.23506864555452,0.994498086266823,-3.25296618488067,unknown,unknown
