lambda,rmse_x,rmse_y,rmse_z,rmse_overall,cond_A,rcond_A,is_invertible,b_solve_method,seq_jumps_total,mean_expected_axis,mean_cross_axis_abs,mean_abs_gnorm_err,max_abs_gnorm_err,mean_residual_norm_pos_x,mean_residual_norm_neg_x,mean_residual_norm_pos_y,mean_residual_norm_neg_y,mean_residual_norm_pos_z,mean_residual_norm_neg_z
0,0.5634547789422,0.418587612077213,0.40239322848109,0.467124960877615,5393.79065164374,0.000177428488994304,1,inverse,0,0.345382812775256,0.22076810033616,0.459325738369232,0.925439430546085,1.01863774247505,0.98260873615269,0.654157688563648,0.721423715059691,0.661839592952494,0.678541010610175
0.0001,0.563454778944215,0.418587612079884,0.402393228484922,0.467124960880324,5393.71166818383,0.000177431085555482,1,inverse,0,0.345382293927396,0.220767814122619,0.459326785999199,0.925440176923901,1.01863709189141,0.98260898618535,0.654158046266763,0.721424155811715,0.661839910515884,0.678542086393815
0.001,0.563454779143794,0.418587612344042,0.402393228864863,0.46712496114857,5393.00096090525,0.000177454453296007,1,inverse,0,0.345377625241456,0.220765238721844,0.459336212368696,0.925446892911052,1.01863123863042,0.982611236129804,0.654161264989679,0.721428122137679,0.66184276817091,0.678551766595196
0.01,0.563454799048922,0.418587638689836,0.402393266757636,0.467124987901909,5385.90416552564,0.000177688130824877,1,inverse,0,0.345331005889046,0.220739521953086,0.459430301013531,0.925513950279311,1.01857287027527,0.982633713499499,0.654193410052543,0.721467763441607,0.661871319677865,0.678648439498336
0.1,0.563456737719764,0.418590204648723,0.402396957334391,0.467127593555064,5315.95012861779,0.00018002488533743,1,inverse,0,0.344871472259582,0.220486028011777,0.460353960102538,0.926174414588456,1.01800526841161,0.982856292385048,0.654510693946759,0.721861947483919,0.662154332789281,0.679602411325284
1,0.563608190892475,0.418790641607378,0.402685207878867,0.467331135628494,4704.86562670173,0.000203390294183716,1,inverse,0,0.340857156726293,0.218893961480132,0.468118338975816,0.931899187966295,1.01364319201202,0.984878393175069,0.657314854574028,0.725564148513527,0.66474437693805,0.688015257335141
10,0.566765756506407,0.422959955657468,0.408665862775316,0.47156700981442,2188.7910412048,0.000436830956097285,1,inverse,0,0.324326185907474,0.219867241217189,0.49297004066821,0.954077746942619,1.00673695440755,0.994609846267902,0.66944615136643,0.745177975393915,0.677347602566782,0.72399644692581
