pose,runs_found,freq_mean_hz,seq_jumps_total,raw_x_mean,raw_y_mean,raw_z_mean,raw_x_std,raw_y_std,raw_z_std,mv_x_mean,mv_y_mean,mv_z_mean,mv_x_std,mv_y_std,mv_z_std,dominant_channel_observed,dominant_sign_observed,dominance_ratio,expected_channel,expected_sign,status
pos_x,3,100.011305457345,0,3472.26334957616,1398.8317090503,1399.4779833511,148.284838089089,5.39777665475725,5.25430807485452,2857.03073236553,1298.21517097271,1298.32581679441,76.3348577513724,4.21739414125762,4.57074578933484,x,1,2.2005498892563,x,1,ok
neg_x,3,100.01132235577,0,3595.91336329781,1468.41272863102,1468.78641375207,138.351936442756,20.9990431456578,21.4217910139509,2921.82771771824,1355.54938946277,1355.22100161641,63.1791049524743,17.5791174885744,18.132925019742,x,1,2.15545648165296,x,-1,sign_inverted
pos_y,3,100.010999945632,0,2282.61279461279,1702.15867003367,1702.79166666667,54.721080913488,9.18702845154776,9.44106994554435,2027.6228956229,1548.17803030303,1548.34385521886,45.1854600529275,7.83604036856567,8.23109782559293,x,1,1.3095430248188,y,1,axis_permuted
neg_y,3,100.010973022803,0,2151.99577273011,1325.10203840701,1325.64851455271,40.8847089260387,5.20026940813997,4.8839604728883,1920.36227941169,1237.05297507684,1237.19042355285,33.3496790278409,4.47650770807127,3.64922166515542,x,1,1.55219620428112,y,-1,axis_permuted
pos_z,3,100.011363601743,0,4004.13468013468,1730.97306716959,1730.64056599753,157.383350652732,5.02579951145546,3.80983055005252,3113.49116161616,1571.35206814985,1571.81480415974,71.8954170439732,3.01582124342212,3.99814404535262,x,1,1.9808257012063,z,1,axis_permuted
neg_z,3,100.011306003921,0,3499.64118318873,1343.0486096078,1344.22891381,41.9387346981315,15.7955223271274,15.7415764588236,2886.95848792522,1253.1815929309,1252.45186763817,22.8775634626296,13.1386684523348,13.0801644217506,x,1,2.30370323360184,z,-1,axis_permuted
