axis,raw_mean,raw_std,raw_min,raw_max,raw_span,sat_hi_pct,sat_lo_pct,sat_any_pct,stuck_rail
x,2976.77803660566,1029.24226535629,1978,4095,2117,38.9683860232945,0,38.9683860232945,0
y,134.725124792013,11.778850930958,85,177,92,0,0,0,0
z,131.577703826955,12.1170652810036,83,192,109,0,0,0,0
