pose,run_file,samples,duration_s,freq_hz,seq_jumps,mean_gx_channel,mean_gy_channel,mean_gz_channel,mean_gx_oper,mean_gy_oper,mean_gz_oper,mean_gnorm_oper,mean_abs_gnorm_err_oper,max_abs_gnorm_err_oper,expected_axis,expected_sign,expected_axis_mean,cross_axis_abs_mean,dominant_axis,dominant_sign,axis_match,sign_match,exact_match
pos_x,sensor_C_pos_x_20260321_103048.csv,1193,11.91913,100.007299190461,0,0.992134357282105,-0.165517476575509,-0.00248891658813006,0.992134357282105,-0.165517476575509,-0.00248891658813006,1.01015385661977,0.0252699162548995,0.36789697386038,x,1,0.992134357282105,0.0992216668627393,x,1,1,1,1
pos_x,sensor_C_pos_x_20260321_103224.csv,1192,11.909131,100.007296922,0,0.991873490492869,-0.175097577566166,0.00182693093155514,0.991873490492869,-0.175097577566166,0.00182693093155514,1.01140513429769,0.0288614118052654,0.34559343067306,x,1,0.991873490492869,0.104471787683709,x,1,1,1,1
pos_x,sensor_C_pos_x_20260321_103405.csv,1193,11.91913,100.007299190461,0,1.01599215222503,-0.174166341883967,0.00136080575934715,1.01599215222503,-0.174166341883967,0.00136080575934715,1.03486052717707,0.0470252515402646,0.324220426659179,x,1,1.01599215222503,0.103392894508209,x,1,1,1,1
neg_x,sensor_C_neg_x_20260321_104116.csv,1191,11.89913,100.007311458905,0,-1.00038089956776,-0.171540033156709,0.0698040348849343,-1.00038089956776,-0.171540033156709,0.0698040348849343,1.02121337908992,0.033418510707531,0.357438722246801,x,-1,1.00038089956776,0.127335958350467,x,-1,1,1,1
neg_x,sensor_C_neg_x_20260321_104255.csv,1194,11.929129,100.007301455119,0,-0.999530251090394,-0.166446013035182,0.0799242649362798,-0.999530251090394,-0.166446013035182,0.0799242649362798,1.02039219932964,0.0327294727115232,0.349524900257324,x,-1,0.999530251090394,0.129655341666116,x,-1,1,1,1
neg_x,sensor_C_neg_x_20260321_104434.csv,1195,11.939129,100.007295339551,0,-1.00008884934185,-0.162796034521482,0.0872287373710161,-1.00008884934185,-0.162796034521482,0.0872287373710161,1.02107208722025,0.0347259533797041,0.402362081105358,x,-1,1.00008884934185,0.131074855572697,x,-1,1,1,1
pos_y,sensor_C_pos_y_20260321_105150.csv,1196,11.949131,100.007272495381,0,0.0412019813442536,0.999450363753756,-0.0129101062286358,0.0412019813442536,0.999450363753756,-0.0129101062286358,1.00361623602714,0.0312755860955798,0.453629195549244,y,1,0.999450363753756,0.0417075822539581,y,1,1,1,1
pos_y,sensor_C_pos_y_20260321_105330.csv,1192,11.909131,100.007296922,0,0.0393955018835522,0.997996480545102,-0.0100050666105847,0.0393955018835522,0.997996480545102,-0.0100050666105847,1.00223556318973,0.0285064043285028,0.446467106408199,y,1,0.997996480545102,0.0419001370025815,y,1,1,1,1
pos_y,sensor_C_pos_y_20260321_105508.csv,1191,11.89913,100.007311458905,0,0.0420828510830085,1.00255315570115,-0.00885638188334557,0.0420828510830085,1.00255315570115,-0.00885638188334557,1.00690176592314,0.0303764849362694,0.501694237550127,y,1,1.00255315570115,0.0412637098306623,y,1,1,1,1
neg_y,sensor_C_neg_y_20260321_110157.csv,1194,11.92913,100.007293071666,0,-0.0561078296639517,-0.994673957804961,0.663158322650264,-0.0561078296639517,-0.994673957804961,0.663158322650264,1.20061032156201,0.201387240335791,0.628477072715738,y,-1,0.994673957804961,0.364715013811292,y,-1,1,1,1
neg_y,sensor_C_neg_y_20260321_110339.csv,1196,11.949131,100.007272495381,0,-0.0531442487561827,-0.999641159298202,0.6539992038546,-0.0531442487561827,-0.999641159298202,0.6539992038546,1.19965518598284,0.201085729269975,0.62609900791665,y,-1,0.999641159298202,0.358764901538841,y,-1,1,1,1
neg_y,sensor_C_neg_y_20260321_110521.csv,1193,11.91913,100.007299190461,0,-0.0521533006843464,-1.00568488289683,0.64702250954504,-0.0521533006843464,-1.00568488289683,0.64702250954504,1.20045315262041,0.201580057687916,0.635688088155263,y,-1,1.00568488289683,0.353325497450313,y,-1,1,1,1
pos_z,sensor_C_pos_z_20260321_131713.csv,1195,11.93913,100.00728696312,0,-0.287941784409225,-0.611256323685784,0.988735740111861,-0.287941784409225,-0.611256323685784,0.988735740111861,1.20024520352775,0.201863037746845,0.675761707490511,z,1,0.988735740111861,0.449599054047504,z,1,1,1,1
pos_z,sensor_C_pos_z_20260321_131840.csv,1191,11.899131,100.007303054315,0,-0.284378418291723,-0.6118543716079,0.991507292332938,-0.284378418291723,-0.6118543716079,0.991507292332938,1.20218686570962,0.203720538337545,0.670923407137429,z,1,0.991507292332938,0.448116394949812,z,1,1,1,1
