axis,raw_mean,raw_std,raw_min,raw_max,raw_span,sat_hi_pct,sat_lo_pct,sat_any_pct,stuck_rail
x,4088.50895140665,73.7142755102963,3095,4095,1000,99.1048593350384,0,99.1048593350384,0
y,874.89641943734,28.6205832375656,742,1047,305,0,0,0,0
z,865.446291560102,22.7622360685267,769,978,209,0,0,0,0
