channel,mean_mv_st_off,mean_mv_st_on,delta_mv_on_minus_off,sem_delta_mv,delta_zscore,inferred_chip_axis,expected_st_sign
x,3140.47911227154,3149.30183727034,8.82272499880082,2.79481696146874,3.15681675059116,unknown,unknown
y,1261.76892950392,1262.45800524934,0.689075745427317,0.720603871308603,0.956247631831298,unknown,unknown
z,1259.60966057441,1259.83989501312,0.230234438710795,0.729640368212758,0.315545094187634,unknown,unknown
