script: gui/adxl_live_gui.py
phase: dual_integrity_precheck
requested_port: COM4
port: COM4
port_resolution_mode: preferred_port
port_resolution_detail: puerto indicado explicitamente por el usuario
baud: 115200
precheck_duration_s: 10.000
samples: 1970
invalid_lines_ignored: 0
header_seen: false
precheck_status: fail
precheck_reason: missing_header
