pose,runs_found,seq_jumps_total,freq_mean_hz,mean_res_norm,mean_pred_abs_gnorm_err,mean_target_gx,mean_target_gy,mean_target_gz,mean_pred_gx,mean_pred_gy,mean_pred_gz
pos_x,3,0,100.011305457345,1.01863774247505,0.556300250100945,1,0,0,0.0683063519018001,-0.2593829601593,-0.163096478073588
neg_x,3,0,100.01132235577,0.98260873615269,0.872974394610522,-1,0,0,-0.0268059206213811,-0.0333841773899956,-0.0661441659844731
pos_y,3,0,100.010999945632,0.654157688563648,0.339111338679051,0,1,0,-0.0866307959352838,0.503394113255462,0.413313075448746
neg_y,3,0,100.010973022803,0.721423715059691,0.347199720576505,0,-1,0,0.139367986834021,-0.4453123528375,-0.421763028457922
pos_z,3,0,100.011363601743,0.661839592952494,0.145775429906334,0,0,1,-0.0955949671340866,0.534880740518971,0.633084367551291
neg_z,3,0,100.011306003921,0.678541010610175,0.494593296342033,0,0,-1,0.00135734495503829,-0.300195363387677,-0.395393770484101
