axis,raw_mean,raw_std,raw_min,raw_max,raw_span,sat_hi_pct,sat_lo_pct,sat_any_pct,stuck_rail
x,4095,0,4095,4095,0,100,0,100,1
y,0.262755102040816,1.58209669350872,0,16,16,0,96.4285714285714,96.4285714285714,0
z,0.284438775510204,1.7159644634052,0,17,17,0,96.5561224489796,96.5561224489796,0
