pose,run_file,samples,duration_s,freq_hz,seq_jumps,mv_x_mean,mv_y_mean,mv_z_mean
pos_z,sensor_C_pos_z_20260321_121702.csv,1194,11.929105,100.007502658414,0,2809.10804020101,1792.17587939699,1867.36599664992
pos_z,sensor_C_pos_z_20260321_121858.csv,1198,11.969101,100.007511006883,0,2800.20701168614,1792.13856427379,1871.21953255426
pos_z,sensor_C_pos_z_20260321_122054.csv,1195,11.939106,100.007487997845,0,2973.15062761506,1793.189958159,1875.73807531381
pos_z,sensor_C_pos_z_20260321_122232.csv,1200,11.989105,100.007465111032,0,2927.09833333333,1791.0925,1875.19416666667
pos_z,sensor_C_pos_z_20260321_122418.csv,1193,11.919102,100.007534124635,0,3050.11399832355,1791.70578373847,1877.36378876781
neg_z,sensor_C_neg_z_20260321_124530.csv,1191,11.899105,100.007521574102,0,3011.86565910999,1577.86481947943,1487.20570948783
neg_z,sensor_C_neg_z_20260321_124710.csv,1191,11.899104,100.007529978728,0,2958.39294710327,1583.46095717884,1488.3408900084
neg_z,sensor_C_neg_z_20260321_124856.csv,1193,11.919106,100.007500562542,0,2989.06705783738,1585.84660519698,1488.00335289187
neg_z,sensor_C_neg_z_20260321_125038.csv,1191,11.89913,100.007311458905,0,1788.65659109992,1575.3677581864,1476.63392107473
neg_z,sensor_C_neg_z_20260321_125210.csv,1192,11.909131,100.007296922,0,1777.21308724832,1579.03523489933,1476.05201342282
