pose,run_file,samples,duration_s,freq_hz,seq_jumps,mean_mv_x,mean_mv_y,mean_mv_z,target_gx,target_gy,target_gz,pred_gx,pred_gy,pred_gz,res_x,res_y,res_z,res_norm,pred_gnorm,pred_abs_gnorm_err
pos_x,sensor_C_pos_x_20260322_111504.csv,796,7.949102,100.011296873534,0,2913.24497487437,1293.43844221106,1293.9648241206,1,0,0,0.119367249151129,-0.322355452079075,-0.111763233238761,-0.880632750848871,-0.322355452079075,-0.111763233238761,0.944414156848962,0.361458985168435,0.638541014831565
pos_x,sensor_C_pos_x_20260322_111643.csv,792,7.909106,100.011303426708,0,2770.12752525253,1299.78282828283,1297.93181818182,1,0,0,-0.161791327601218,-0.0272901280767668,-0.441267746188643,-1.16179132760122,-0.0272901280767668,-0.441267746188643,1.24306921118908,0.470784885700269,0.529215114299731
pos_x,sensor_C_pos_x_20260322_111810.csv,792,7.909105,100.011316071793,0,2887.7196969697,1301.42424242424,1303.08080808081,1,0,0,0.247343134155489,-0.428503300322059,0.0637415452066392,-0.752656865844511,-0.428503300322059,0.0637415452066392,0.868429859387106,0.498855378828461,0.501144621171539
neg_x,sensor_C_neg_x_20260322_112213.csv,795,7.939107,100.011248116444,0,2887.87295597484,1340.00754716981,1339.02893081761,-1,0,0,-0.0912463665894554,-0.00559969097590862,-0.201213441208964,0.908753633410545,-0.00559969097590862,-0.201213441208964,0.930779980284839,0.221007024499123,0.778992975500877
neg_x,sensor_C_neg_x_20260322_112342.csv,792,7.909101,100.011366652164,0,2882.88636363636,1352.01262626263,1351.82070707071,-1,0,0,-0.00718002699731435,-0.0598121026347043,-0.0606859676911853,0.992819973002686,-0.0598121026347043,-0.0606859676911853,0.99646965487628,0.085509222215397,0.914490777784603
neg_x,sensor_C_neg_x_20260322_112521.csv,793,7.919101,100.011352298702,0,2994.72383354351,1374.62799495586,1374.81336696091,-1,0,0,0.0180086317226265,-0.0347407385593739,0.0634669109467296,1.01800863172263,-0.0347407385593739,0.0634669109467296,1.02057657329695,0.0745605694539149,0.925439430546085
pos_y,sensor_C_pos_y_20260322_112844.csv,792,7.90913,100.010999945632,0,2073.68308080808,1557.08080808081,1557.69318181818,0,1,0,-0.0416526370131398,0.478784848144476,0.503867884148676,-0.0416526370131398,-0.521215151855524,0.503867884148676,0.726142562704039,0.696313663272049,0.303686336727951
pos_y,sensor_C_pos_y_20260322_113009.csv,792,7.90913,100.010999945632,0,2025.81944444444,1545.12626262626,1545.15025252525,0,1,0,-0.10107343527174,0.510464323502679,0.385347532454617,-0.10107343527174,-0.489535676497321,0.385347532454617,0.631152706284448,0.647520181658873,0.352479818341127
pos_y,sensor_C_pos_y_20260322_113138.csv,792,7.90913,100.010999945632,0,1983.36616161616,1542.32702020202,1542.18813131313,0,1,0,-0.117166315520972,0.520933168119233,0.350723809742945,-0.117166315520972,-0.479066831880767,0.350723809742945,0.605177796702457,0.638832139031926,0.361167860968074
neg_y,sensor_C_neg_y_20260322_113521.csv,793,7.91913,100.010986055286,0,1894.99495586381,1238.76923076923,1239.10466582598,0,-1,0,0.162076528949388,-0.462837532174173,-0.392441779284908,0.162076528949388,0.537162467825827,-0.392441779284908,0.684706410226544,0.628090704081556,0.371909295918444
