pair_name,expected_pair_axis,delta_gx_pair,delta_gy_pair,delta_gz_pair,dominant_pair_axis,pair_axis_match,pair_sign_opposition_ok,pair_expected_delta_abs,pair_cross_delta_abs_max,pair_dominance_ratio,raw_pair_expected_delta_mv,raw_pair_cross_delta_abs_max,raw_pair_dominance_ratio,raw_pair_sign_ok
x_pair,x,1.99999999999998,-0.365705012587303,-0.36039936421255,x,1,1,1.99999999999998,0.365705012587303,5.46888867027091,64.7969853527065,57.3342184900584,1.13016252875134,1
y_pair,y,-3.31066686597724,2,1.95571292409881,x,0,1,2,3.31066686597724,0.604107897582031,311.153431666,311.125055226188,1.00009120589723,1
z_pair,z,-6.99207447562168,2.05276821027884,2,x,0,1,2,6.99207447562168,0.286038143182417,318.170475218957,319.362936521568,0.996266124943617,1
