pose,run_file,samples,duration_s,freq_hz,seq_jumps,mean_raw_x,mean_raw_y,mean_raw_z,mean_mv_x,mean_mv_y,mean_mv_z,target_gx,target_gy,target_gz
pos_x,sensor_C_pos_x_20260321_103048.csv,1193,11.91913,100.007299190461,0,1489.5691533948,1828.55322715842,1837.2665549036,1372.3897736798,1652.41994970662,1659.85079631182,1,0,0
pos_x,sensor_C_pos_x_20260321_103224.csv,1192,11.909131,100.007296922,0,1488.80536912752,1832.29697986577,1839.52013422819,1372.47567114094,1655.25922818792,1660.72567114094,1,0,0
pos_x,sensor_C_pos_x_20260321_103405.csv,1193,11.91913,100.007299190461,0,1478.70326906957,1832.66890192791,1837.83654652137,1364.53394803018,1654.98323554065,1660.63118189438,1,0,0
neg_x,sensor_C_neg_x_20260321_104116.csv,1191,11.89913,100.007311458905,0,2283.75818639798,1830.68849706129,1855.2107472712,2028.47942905122,1654.20486985726,1674.50545759866,-1,0,0
neg_x,sensor_C_neg_x_20260321_104255.csv,1194,11.929129,100.007301455119,0,2282.47906197655,1827.70016750419,1858.19765494137,2028.19932998325,1652.69514237856,1676.55695142379,-1,0,0
neg_x,sensor_C_neg_x_20260321_104434.csv,1195,11.939129,100.007295339551,0,2282.88619246862,1827.05020920502,1858.85941422594,2028.38326359833,1651.61338912134,1678.03765690377,-1,0,0
pos_y,sensor_C_pos_y_20260321_105150.csv,1196,11.949131,100.007272495381,0,1870.29849498328,1410.0602006689,1834.42474916388,1685.51003344482,1307.15551839465,1657.73829431438,0,1,0
pos_y,sensor_C_pos_y_20260321_105330.csv,1192,11.909131,100.007296922,0,1868.02181208054,1409.31040268456,1834.40352348993,1686.10486577181,1307.58640939597,1658.32718120805,0,1,0
pos_y,sensor_C_pos_y_20260321_105508.csv,1191,11.89913,100.007311458905,0,1868.23341729639,1409.29638958858,1835.57682619647,1685.21998320739,1306.23593618808,1658.56003358522,0,1,0
neg_y,sensor_C_neg_y_20260321_110157.csv,1194,11.92913,100.007293071666,0,1906.32663316583,2126.24958123953,2000.93216080402,1717.55192629816,1898.15912897822,1794.78559463987,0,-1,0
neg_y,sensor_C_neg_y_20260321_110339.csv,1196,11.949131,100.007272495381,0,1905.60284280936,2128.61204013378,1998.02926421405,1716.57608695652,1899.63127090301,1792.92892976589,0,-1,0
neg_y,sensor_C_neg_y_20260321_110521.csv,1193,11.91913,100.007299190461,0,1906.01257334451,2129.80804694049,1997.11567476949,1716.24979044426,1901.42246437552,1791.51466890193,0,-1,0
pos_z,sensor_C_pos_z_20260321_131713.csv,1195,11.93913,100.00728696312,0,1998.73556485356,1989.24937238494,2080.29037656904,1793.88953974895,1784.52468619247,1860.78410041841,0,0,1
pos_z,sensor_C_pos_z_20260321_131840.csv,1191,11.899131,100.007303054315,0,1999.1301427372,1987.70277078086,2081.2510495382,1792.71620486986,1784.70193115029,1861.34592779177,0,0,1
pos_z,sensor_C_pos_z_20260321_132019.csv,1203,12.019131,100.007230140016,0,1996.14630091438,1987.00166251039,2083.88279301746,1791.54779717373,1782.33582709892,1863.0182876143,0,0,1
pos_z,sensor_C_pos_z_20260321_132204.csv,1195,11.939129,100.007295339551,0,1996.8769874477,1984.74225941423,2085.05355648536,1791.95146443515,1781.6719665272,1864.15815899582,0,0,1
pos_z,sensor_C_pos_z_20260321_132349.csv,1192,11.90913,100.007305319532,0,2000.00419463087,1984.18120805369,2087.24161073826,1793.35654362416,1780.44295302013,1866.03104026846,0,0,1
neg_z,sensor_C_neg_z_20260321_132804.csv,1197,11.959131,100.007266414257,0,2023.03842940685,1715.33333333333,1611.50793650794,1812.67251461988,1559.01754385965,1474.27234753551,0,0,-1
neg_z,sensor_C_neg_z_20260321_132949.csv,1193,11.91913,100.007299190461,0,2027.10645431685,1719.4744341995,1603.77116512992,1816.7870913663,1562.27074601844,1466.7795473596,0,0,-1
neg_z,sensor_C_neg_z_20260321_133129.csv,1190,11.88913,100.007317608606,0,2013.18907563025,1727.6025210084,1586.43361344538,1804.99915966387,1569.13613445378,1452.95210084034,0,0,-1
neg_z,sensor_C_neg_z_20260321_133305.csv,1195,11.93913,100.00728696312,0,1983.43263598326,1730.38577405858,1580.98828451883,1779.70543933054,1573.02092050209,1449.18242677824,0,0,-1
neg_z,sensor_C_neg_z_20260321_133454.csv,1192,11.909129,100.007313717065,0,1979.22734899329,1734.60151006711,1576.89513422819,1777.04362416107,1576.16946308725,1445.02936241611,0,0,-1
