pose,runs_found,freq_mean_hz,seq_jumps_total,raw_x_mean,raw_y_mean,raw_z_mean,mv_x_mean,mv_y_mean,mv_z_mean,dominant_channel_observed,dominant_sign_observed,dominance_ratio,expected_channel,expected_sign,status
pos_x,2,100.010917226352,0,2294.71091112993,421.784602233515,418.983043164565,2037.09081419788,490.307489491185,488.390644802058,x,1,4.15472098195331,x,1,ok
neg_x,2,100.010924951841,0,1568.91710118643,1110.75369341797,1109.3547176881,1437.63822136578,1060.19754590796,1059.74088925414,x,1,1.35600976149646,x,-1,sign_inverted
pos_y,2,100.01114373715,0,2712.86984772155,1588.79336660051,1585.77403919548,2319.03001679261,1453.45566178154,1451.82171526347,x,1,1.59552855843577,y,1,axis_permuted
neg_y,2,100.011318271554,0,4094.98492462312,1389.90439270755,1390.27418539735,3154.86432160804,1289.64427908775,1290.23033594834,x,1,2.44519465533196,y,-1,axis_permuted
pos_z,2,100.011365789999,0,4089.85059612519,1785.34721028061,1786.92103172329,3152.38368155069,1618.40103430267,1618.03663526819,x,1,1.94783840020775,z,1,axis_permuted
neg_z,2,100.01131114299,0,4093.00133935423,1294.0001344892,1293.70426615571,3152.95152850934,1210.81169771258,1210.94076779094,x,1,2.60372068756187,z,-1,axis_permuted
