pose,runs_found,freq_mean_hz,seq_jumps_total,raw_x_pose_mean,raw_y_pose_mean,raw_z_pose_mean,mv_x_pose_mean,mv_y_pose_mean,mv_z_pose_mean
pos_x,3,100.007298434308,0,1485.6925971973,1831.17303631737,1838.20774521772,1369.79979761697,1654.2208044784,1660.40254978238
neg_x,3,100.007302751192,0,2283.04114694772,1828.47962459017,1857.42260547951,2028.35400754426,1652.83780045239,1676.36668864207
pos_y,3,100.007293625429,0,1868.8512414534,1409.55566431401,1834.80169961676,1685.61162747467,1306.99262132623,1658.20850303589
neg_y,5,100.00751395438,0,4095,2144.13035811274,1941.64837662882,3155,1913.67486587627,1745.96220186199
pos_z,5,100.007532030948,0,4095,1980.43461538974,2084.99754631897,3155,1778.65168083695,1864.18163166807
neg_z,5,100.007296778702,0,2005.1987888661,1725.47951453339,1591.91922676605,1798.24156582833,1567.92296158424,1457.64315698596
