pose,run_file,samples,duration_s,freq_hz,seq_jumps,raw_x_mean,raw_y_mean,raw_z_mean,mv_x_mean,mv_y_mean,mv_z_mean
pos_x,sensor_C_pos_x_20260321_103048.csv,1193,11.91913,100.007299190461,0,1489.5691533948,1828.55322715842,1837.2665549036,1372.3897736798,1652.41994970662,1659.85079631182
pos_x,sensor_C_pos_x_20260321_103224.csv,1192,11.909131,100.007296922,0,1488.80536912752,1832.29697986577,1839.52013422819,1372.47567114094,1655.25922818792,1660.72567114094
pos_x,sensor_C_pos_x_20260321_103405.csv,1193,11.91913,100.007299190461,0,1478.70326906957,1832.66890192791,1837.83654652137,1364.53394803018,1654.98323554065,1660.63118189438
neg_x,sensor_C_neg_x_20260321_104116.csv,1191,11.89913,100.007311458905,0,2283.75818639798,1830.68849706129,1855.2107472712,2028.47942905122,1654.20486985726,1674.50545759866
neg_x,sensor_C_neg_x_20260321_104255.csv,1194,11.929129,100.007301455119,0,2282.47906197655,1827.70016750419,1858.19765494137,2028.19932998325,1652.69514237856,1676.55695142379
neg_x,sensor_C_neg_x_20260321_104434.csv,1195,11.939129,100.007295339551,0,2282.88619246862,1827.05020920502,1858.85941422594,2028.38326359833,1651.61338912134,1678.03765690377
pos_y,sensor_C_pos_y_20260321_105150.csv,1196,11.949131,100.007272495381,0,1870.29849498328,1410.0602006689,1834.42474916388,1685.51003344482,1307.15551839465,1657.73829431438
pos_y,sensor_C_pos_y_20260321_105330.csv,1192,11.909131,100.007296922,0,1868.02181208054,1409.31040268456,1834.40352348993,1686.10486577181,1307.58640939597,1658.32718120805
pos_y,sensor_C_pos_y_20260321_105508.csv,1191,11.89913,100.007311458905,0,1868.23341729639,1409.29638958858,1835.57682619647,1685.21998320739,1306.23593618808,1658.56003358522
neg_y,sensor_C_neg_y_20260321_144910.csv,1197,11.959102,100.007508925001,0,4095,2135.39682539683,1949.5455304929,3155,1906.06766917293,1751.79949874687
neg_y,sensor_C_neg_y_20260321_145114.csv,1196,11.949102,100.007515209093,0,4095,2140.79347826087,1942.63210702341,3155,1910.43060200669,1748.39214046823
neg_y,sensor_C_neg_y_20260321_145304.csv,1195,11.939102,100.007521503711,0,4095,2145.09623430962,1939.40585774059,3155,1913.71715481172,1743.83012552301
neg_y,sensor_C_neg_y_20260321_145514.csv,1196,11.949102,100.007515209093,0,4095,2149.20735785953,1939.09030100334,3155,1918.20735785953,1743.72575250836
neg_y,sensor_C_neg_y_20260321_145742.csv,1197,11.959102,100.007508925001,0,4095,2150.15789473684,1937.56808688388,3155,1919.95154553049,1742.06349206349
pos_z,sensor_C_pos_z_20260321_150204.csv,1195,11.939102,100.007521503711,0,4095,1982.94728033473,2080.44267782427,3155,1781.07280334728,1860.31046025105
pos_z,sensor_C_pos_z_20260321_150522.csv,1195,11.939102,100.007521503711,0,4095,1980.90794979079,2083.94393305439,3155,1779.16820083682,1863.78744769874
pos_z,sensor_C_pos_z_20260321_150752.csv,1191,11.899101,100.007555192615,0,4095,1980.18219983207,2086.09823677582,3155,1778.56423173804,1864.76658270361
pos_z,sensor_C_pos_z_20260321_150926.csv,1192,11.909102,100.007540450993,0,4095,1980.03271812081,2086.31543624161,3155,1778.17869127517,1865.39429530201
pos_z,sensor_C_pos_z_20260321_151113.csv,1195,11.939102,100.007521503711,0,4095,1978.10292887029,2088.18744769874,3155,1776.27447698745,1866.64937238494
neg_z,sensor_C_neg_z_20260321_132804.csv,1197,11.959131,100.007266414257,0,2023.03842940685,1715.33333333333,1611.50793650794,1812.67251461988,1559.01754385965,1474.27234753551
neg_z,sensor_C_neg_z_20260321_132949.csv,1193,11.91913,100.007299190461,0,2027.10645431685,1719.4744341995,1603.77116512992,1816.7870913663,1562.27074601844,1466.7795473596
neg_z,sensor_C_neg_z_20260321_133129.csv,1190,11.88913,100.007317608606,0,2013.18907563025,1727.6025210084,1586.43361344538,1804.99915966387,1569.13613445378,1452.95210084034
neg_z,sensor_C_neg_z_20260321_133305.csv,1195,11.93913,100.00728696312,0,1983.43263598326,1730.38577405858,1580.98828451883,1779.70543933054,1573.02092050209,1449.18242677824
neg_z,sensor_C_neg_z_20260321_133454.csv,1192,11.909129,100.007313717065,0,1979.22734899329,1734.60151006711,1576.89513422819,1777.04362416107,1576.16946308725,1445.02936241611
